FENESIS_ID	FENESIS_Name_English	FENESIS_Name_latin	FENESIS_description	FMA_Info
188.15	Lunules of semilunar cusps	Lunulae valvularumsemilunarium	 Thin, crescentic area on both side of the nodules at the margin of the cusps.  //	FMA76531:Set of lunules of semilunar cusps of pulmonary valve
188.23	Ostia venarum pulmonalium 		 Openings of pulmonary veins into the left atrium.  //	FMA76589:Set of openings of pulmonary veins
188.25	Ostium atrioventriculare sinistrum 		 Left atrioventicular opening between the left atrium and left ventricle.  //	FMA9335:Orifice of left atrioventricular junction
190.1	Ostium aortae 		 Opening of left ventricle leading into the aorta.  //	FMA9350:Ostium of aorta
190.7	Lunules of semilunar cusps	Lunulae valvularum semilunarium	 Thin, crescentic areas near the margin of the semilunar cusps on either side of their nodules.  //	FMA60803:Lunule of nail of finger
190.14	Right pulmonary artery	Arteria pulmonalis dextra	 It lies behind the ascending aorta.  //	FMA50872:Right pulmonary artery
190.31	Anterior descending branch	Ramus anterior descendens	 Branch to lower part of anterior segment.  //	FMA68666:Anterior part of left apical segmental artery
192.1	Ductus arteriosus Botalli 		 Short arterial duct in the fetus between the division of the pulmonary trunk and the arch of the aorta.  It is patent until birth. //	FMA79871:Ductus arteriosus
192.2	Ligamentum arteriosum 		 Connective tissue remains of the ductus arteriosus.  //	FMA13421:Ligamentum arteriosum
192.3	AORTA		 Principal artery of the body. // //	FMA3734:Aorta
192.4	ASCENDING AORTA	Pars ascendens aortae	 Proximal ascending part of the aorta up to the site where it loses its pericardium.  //	FMA3736:Ascending aorta
192.5	Bulb of aorta	Bulbus aortae	 Bulbous enlargement of the aorta caused by the aortic sinus.  It lies distal to the root of the aorta. //	FMA3740:Bulb of aorta
192.7	Right coronary artery	Arteria coronaria dextra	 It arises in the region of the right aortic sinus and courses in the right coronary groove. C  //	FMA50039:Right coronary artery
192.15	Right posterolateral branch	[Ramus posterolateralis dexter]	 Branch occasionally found at posterior wall of left ventricle.  //	FMA76994:Right posterolateral branch of right coronary artery
192.19	Lateral branch	Ramus lateralis	 Left branch at anterior wall of left ventricle.  //	FMA76995:Lateral branch of left coronary artery
192.20	Septal interventricular branches	Rami interventriculares septales	 Perforating branches for anterior 2/3 of interventricular septum.  //	FMA3893:Anterior septal branch of anterior interventricular artery
192.21	Circumflex branch	Ramus circumflexus	 Branch coursing in left coronary groove as a continuation of left coronary artery. C  //	FMA3895:Circumflex branch of left coronary artery
192.23	Left marginal branch	Ramus marginalis sinister	 Branch at outer margin of left ventricle.  //	FMA3902:Left marginal artery
192.25	Left posterior ventricular branch	Ramus posterior ventriculi sinistri	 Inconstant branch on posterior side of left ventricle.  //	FMA13905:Posterior ventricular branch of circumflex coronary artery
192.27	Atrioventricular node branch	[Ramus nodi atrioventricularis]	 Branch that occasionally supplies the AV node  //	FMA3899:Atrioventricular node branch of circumflex coronary artery
194.1	ARCH OF AORTA	Arcus aortae	 Part of aorta situated between the ascending and descending parts.  //	FMA3768:Arch of aorta
194.3	Para-aortic bodies	Corpora para-aortica	 Irregular islands of chromaffin tissue scattered beside the aorta  //	FMA76539:Set of para-aortic bodies
194.5	(Arteria thyroidea ima) 		 Inconstant (10%) unpaired artery for thyroid gland arising from the brachiocephalic trunk or directly from the aorta //	FMA3936:Thyroidea ima artery (variant)
194.6	COMMON CAROTID ARTERY	Arteria carotis communis	 Devoid of branches, it runs on each side of trachea and larynx below the sternocleidomastoid muscle.  //	FMA3939:Common carotid artery
194.7	Carotid body	Glomus caroticum	 Chemoreceptor at the bifurcation of the common carotid artery.  It contains capillary tufts, epithelioid cells and abundant nerve endings. It responds predominantly to the oxygen content of the blood, less strongly to carbon dioxide changes. //	FMA50095:Carotid body
194.8	Carotid sinus	Sinus caroticus	 Slight dilatation at the division of the common carotid artery.  It contains baroreceptors. //	FMA50094:Carotid sinus
194.9	EXTERNAL CAROTID ARTERY	Arteria carotis externa	 It extends from the carotid bifurcation to its terminal division into the superficial temporal and maxillary arteries at the neck of the mandible.  //	FMA10635:External carotid artery
194.10	Superior thyroid artery	Arteria thyroidea superior	 First branch of external carotid artery.  It mainly supplies parts of the larynx and the thyroid gland. //	FMA49472:Superior thyroid artery
194.14	Cricothyroid branch	Ramus cricothyroideus	 Branch that supplies the cricothyroid muscle and the interior of the larynx.  It anastomoses with the branch from the opposite side. //	FMA49483:Cricothyroid artery
194.15	Anterior glandular branch	Ramus glandularis anterior	 It mainly supplies the anterior portion of the thyroid gland.  //	FMA49488:Anterior glandular branch of superior thyroid artery
194.16	Posterior glandular branch	Ramus glandularis posterior	 It mainly supplies the upper portion of the thyroid gland but also the posterior portion.  //	FMA49491:Posterior glandular branch of superior thyroid artery
194.19	Pharyngeal branches	Rami pharyngeales	 Branches that supply the wall of the pharynx.  //	FMA71673:Set of pharyngeal branches of ascending pharyngeal artery
196.1	Lingual artery	Arteria lingualis	 Second anterior branch of external carotid artery It is covered by the hyoglossus muscle and passes laterally into the tongue. A B  //	FMA49526:Lingual artery
196.2	Suprahyoid branch of lingual artery	Ramus suprahyoideus	 It anastomoses at the hyoid bone with the infrahyoid branch and the branch from the opposite side.  //	FMA49540:Suprahyoid artery
196.3	Sublingual artery	Arteria sublingualis	 Arising at the anterior margin of the hyoglossus, it passes between the mylohyoid and the sublingual gland and extends up to the gingiva //	FMA49543:Sublingual artery
196.4	Rami dorsales linguae 		 Dorsal lingual branches of lingual artery that supply the base of the tongue.  //	FMA71674:Set of dorsal lingual branches of lingual artery
196.6	Linguofacial trunk	[Truncus linguofacialis]	 Occasionally present common trunk of lingual and facial arteries.  //	FMA77438:Linguofacial trunk
196.10	Submental artery	Arteria submentalis	 It lies caudal to the mylohyoid muscle and supplies mainly this muscle and the submandibular gland.  It anastomoses with the sublingual artery. //	FMA49561:Submental artery
196.11	Glandular branches	Rami glandulares	 Direct branches for the submandibular gland.  //	FMA71675:Set of glandular branches of facial artery
196.12	Inferior labial artery	Arteria labialis inferior	 Artery for the lower lip situated between the muscle and the mucosa.  It anastomoses with the submental and mental arteries as well as the artery of the opposite side. //	FMA49567:Inferior labial artery
196.17	Auricular branch of occipital artery	Ramus auricularis	 It passes beneath the sternocleidomastoid muscle and runs obliquely behind the pinna.  //	FMA49602:Auricular branch of occipital artery
196.18	Sternocleidomastoid branch	Ramus sternocleidomastoidei	 Small branches of occipital artery that supply the sternocleidomastoid muscle.  //	FMA71677:Set of sternocleidomastoid branches of occipital artery
196.19	Meningeal branch	[Ramus meningeus]	 Inconstant branch of the occipital artery that occasionally passes through the parietal foramen and supplies the dura mater.  //	FMA49618:Meningeal branch of occipital artery
196.20	Occipital branches	Rami occipitales	 Usually very tortuous branches of occipital artery that penetrate the trapezius and supply the occiput.  //	FMA71678:Set of occipital branches of occipital artery
196.21	Descending branch of occipital artery	Ramus descendens	 It passes beneath the splenius capitis to supply the muscles there.  //	FMA49608:Descending branch of occipital artery
196.26	Stapedial branch	[Ramusstapedialis]	 Slender branch that supplies the stapedial muscle. 27 Auricular branch. Ramus auricularis.  It supplies the posterior side of the pinna with perforating branches as well as the anterior side and the small auricular muscles. //	FMA49638:Stapedial branch of posterior tympanic artery
198.1	Superficial temporal artery	Arteria temporalis superficialis	 One of two terminal branches of the external carotid artery.  It passes upward in front of the pinna accompanied by the auriculotemporal nerve. A //	FMA49650:Superficial temporal artery
198.2	Parotid branch	Ramus parotideus	 It supplies the parotid gland.  //	FMA49654:Parotid branch of superficial temporal artery
198.4	Anterior auricular branches	Rami auriculares anteriores	 Several small branches to the pinna and the external acoustic meatus.  //	FMA71679:Set of anterior auricular branches of superficial temporal artery
198.8	Parietal branch	Ramus parietalis	 Posterior branch of superficial temporal artery. It anastomoses with its counterpart from the opposite side as well as with the posterior auricular and occipital arteries.  //	FMA49670:Parietal branch of superficial temporal arteryoccipital artery
198.13	Dental rami	Rami dentales	 Branches to roots of the teeth.  //	FMA71680:Set of dental branches of inferior alveolar arterydental branches of infra-orbital artery
198.14	Mylohyoid branch	Ramus mylohyoideus	 Branch that exits in front of the mandibular canal and accompanies the mylohyoid nerve in the mylohyoid groove; it runs anteriorly beneath the mylohyoid muscle and anastomoses with the submental artery.  //	FMA71681:Set of peridental branches of inferior alveolar artery
198.15	Mental branch	Ramus mentalis	 Terminal branch of inferior alveolar artery.  It supplies the chin. //	FMA49701:Mental artery
198.17	Accessory ramus	Ramus accessorius	 Accessory branch from the middle meningeal artery or from the maxillary artery that extends to the adjacent muscles, the auditory tube and through the foramen ovale to the dura up to the trigeminal (semilunar) ganglion.  //	FMA49715:Accessory branch of middle meningeal artery
198.21	Parietal branch	Ramus parietalis	 Terminal branch passing to the posterior half of the cranium.  //	FMA49718:Parietal branch of middle meningeal artery
198.22	Orbital branch	Ramus orbitalis	 It runs through the superior orbital fissure in the direction of the lacrimal gland. [A-E]  //	FMA49717:Orbital branch of middle meningeal artery
198.23	Anastomotic branch connecting the orbital branch and the lacrimal artery	Ramus anastomoticus cum arteria lacrimalis	  //	FMA49733:Anastomotic branch of middle meningeal artery with lacrimal artery
198.26	Pterygoid branches	Rami pterygoidei	 Branches that supply the pterygoid muscles. [A-E]  //	FMA71682:Set of pterygoid branches of posterior deep temporal artery
198.29	Dental branches	Rami dentales	 They supply the maxillary molars.  //	FMA71683:Set of dental branches of posterior superior alveolar artery
200.1	Infraorbital artery	Arteria infraorbitalis	 Terminal branch of maxillary artery.  It passes to the face via the inferior orbital fissure, groove and canal. //	FMA49767:Infra-orbital artery
200.9	Lateral posterior nasal branches	Arteriae nasales posteriores laterales	 As the terminal branches of the sphenopalatine artery, they supply the nasal cavity laterally and posteriorly //	FMA49808:Posterior lateral nasal artery
200.11	Cervical part of internal carotid artery	Pars cervicalis	 Branchless segment that extends up to the site where it enters the carotid canal in the petrous part of the temporal bone. B  //	FMA49815:Cervical part of internal carotid artery
200.13	Petrous part of internal carotid artery	Pars petrosa	 Segment coursing through the carotid canal in the petrous part of the temporal bone.  //	FMA49816:Petrous part of internal carotid artery
200.15	Pterygoid branch	Ramus pterygoideus	 Branch that accompanies the nerve of the pterygoid canal in the lateral wall of the sphenoid sinus.  //	FMA49831:Pterygoid artery
200.16	Cavernous part of internal carotid	Pars cavernosa	 Segment in the cavernous sinus; it extends up to the vicinity of the optic canal.  //	FMA49817:Cavernous branch of internal carotid artery
200.17	Basal tentorial branch	Ramus basalis tentorii	 Branch of ICA that extends across the petrosal ridge to the tentorium.  //	FMA70531:Tentorial basal branch of internal carotid artery
200.21	Nerve branches	Rami nervorum	  //	FMA71693:Set of branches of cavernous part of internal carotid artery to nerves
200.26	Clival branch	Ramus clivi	 Branch that supplies the clivus.  //	FMA50106:Clivus branch of internal carotid artery
202.1	Ophthalmic artery	Arteria ophthalmica	 It passes from the anterior convex arch of the internal carotid artery through the optic canal into the orbit accompanied by the optic nerve.  //	FMA49868:Ophthalmic artery
202.2	Central retinal artery	Arteria centralis retinae	 It passes into the optic nerve from below about 1 mm behind the eyeball. Distribution: internal layers of the retina.  //	FMA49879:Central retinal artery
202.4	Anastomotic branch [with middle meningeal artery]	Ramus anastomoticus [cum arteria meningea media]	 Branch that anastomoses with the orbital branch of the middle meningeal artery.  It occasionally replaces the ophthalmic artery. //	FMA51968:Recurrent branch of ophthalmic artery
202.5	Lateral palpebral arteries	Arteriae palpebrales laterales	 They arises from the lacrimal artery and pass lateral to the eyelids. A  //	FMA70781:Set of lateral palpebral arteries
202.5a	Recurrent meningeal branch	Ramus meningeus recurrens	 Branch of the lacrimal artery that runs through the superior orbital fissure into the cranial cavity.  It anastomoses with the anastomotic branch //	FMA51965:Recurrent meningeal branch of lacrimal artery
202.6	Short posterior ciliary arteries	Arteriae ciliares posteriores breves	 10?15 arteries which penetrate the sclera circumferentially around the optic nerve and supply the choroid.  //	FMA70777:Set of short posterior ciliary arteries
202.7	Long posterior ciliary arteries	Arteriae ciliares posteriores longae	 Lateral and medial arteries which pass between the sclera and choroid to the ciliary body. A  //	FMA70778:Set of long posterior ciliary arteries
202.8	Muscular arteries 		 Branches that supply the eye muscles  //	FMA70769:Set of muscular arteries
202.9	Anterior ciliary arteries	Arteriae ciliares anteriores	 They arise from the lacrimal artery or muscular branches, penetrate the sclera and supply the choroid and ciliary body. A  //	FMA70782:Set of anterior ciliary arteries
202.10	Anterior conjunctival arteries	Arteriae conjunctivales anteriores	 Branches arising from the anterior ciliary arteries and supplying the conjunctivae.  //	FMA70783:Set of anterior conjunctival arteries
202.11	Posterior conjunctival arteries	Arteriae conjunctivales posteriores	 They arise from the lacrimal and supraorbital arteries.  //	FMA70786:Set of posterior conjunctival arteries
202.12	Episcleral arteries	Arteriae episclerales	 Twigs of the anterior ciliary arteries situated on the sclera.  //	FMA70784:Set of episcleral arteries
202.13	Supraorbital artery	Arteria supraorbitalis arteria frontalis lateralis	 It passes below the roof of the orbit and through the supraorbital notch to the forehead. A  //	FMA49973:Supra-orbital artery
202.13a	Diploic branch	Ramus diploicus	 Branch to bone  //	FMA49983:Diploic branch of supra-orbital artery
202.14	Posterior ethmoidal artery	Arteria ethmoidalis posterior	 It passes below the superior oblique muscle and through the posterior ethmoidal foramen to the posterior ethmoidal air cells and the posterior part of the nasal cavity.  //	FMA49989:Posterior ethmoidal artery
202.15	Anterior ethmoidal artery	Arteria ethmoidalis anterior	 It passes upward through the anterior ethmoidal foramen into the anterior cranial fossa and through the cribriform plate into the nasal cavity and frontal sinus as well as the anterior ethmoidal cells.  //	FMA49986:Anterior ethmoidal artery
202.16	Anterior meningeal branch	Ramus meningeus anterior	 Branch from the part of the anterior ethmoidal artery lying in the cranial fossa.  It supplies the dura. //	FMA49993:Anterior meningeal branch of anterior ethmoidal artery
202.16a	Anterior septal branches	Rami septales anteriores	 Branches that extend from the anterior ethmoidal artery to the upper portion of the nasal septum  //	FMA71696:Set of anterior septal branches of anterior ethmoidal artery
202.16b	Lateral anterior nasal branches	Rami nasales anteriores lateralis	 Branches of the anterior ethmoidal artery that extend to the upper lateral wall of the nasal septum and the anterior upper ethmoidal air cells. See p. 201  //	FMA71697:Set of anterior lateral nasal branches of anterior ethmoidal artery
202.17	Medial palpebral arteries	Arteriae palpebrales mediales	 Paired arteries for each eyelid, upper and lower.  They arise from the ophthalmic artery and anastomose with the lateral palpebral artery via the superior and inferior palpebral arches. A //	FMA70785:Set of medial palpebral arteries
202.18	Superior palpebral arch	Arcus palpebralis superior	 Connects the medial and lateral palpebral arteries superiorly on the tarsal plate.  //	FMA50018:Superior palpebral arch
202.19	Inferior palpebral arch	Arcus palpebralis inferior	 Connects the medial and lateral palpebral arteries inferiorly on the tarsal plate.  //	FMA50017:Inferior palpebral arch
202.20	Supratrochlear artery	Arteria supratrochlearis Arteria frontalis medialis	 Terminal branch of the ophthalmic artery which passes through the frontal notch to the forehead. Anastomoses with the contralateral, supraorbital and superficial temporal arteries. A  //	FMA50025:Supratrochlear artery
202.21	Dorsal nasal artery	Arteria dorsalis nasi (Arteria nasi externa)	 It penetrates the orbicularis oculi and passes downward to the bridge of the nose. Anastomoses with the facial artery. A  //	FMA50000:Dorsal nasal artery
202.22	Anterior choroidal artery AChA	Arteria choroidea anterior	 Usually arises from the internal carotid artery.  It follows the optic tract and enters the choroid plexus of the inferior horn of the lateral ventricle, where it occasionally passes up to the interventricular foramen. C //	FMA50087:Anterior choroidal artery
202.23	Choroidal branches of lateral ventricle	Rami choroidei ventriculi lateralis	 Branches that supply the choroid plexus of the lateral ventricle. C  //	FMA71698:Set of choroidal branches of anterior choroidal artery to lateral ventricle
202.24	Choroidal branches to third ventricle	Rami choroidei ventriculi tertii	 Branches that supply the choroid plexus of the third ventricle.  //	FMA71699:Set of choroidal branches of anterior choroidal artery to third ventricle
202.25	Branches to anterior perforated substance	Rami substantiae perforatae anterioris	 AChA branches that supply internal capsule.  //	FMA71455:Set of branches of anterior choroidal artery to anterior perforated substance
202.26	Branches of optic tract	Rami tractus optici	 Branches to the AchA that supply the optic tract.  //	FMA71458:Set of branches of anterior choroidal artery to optic tract
202.27	Branches to lateral geniculate body	Rami corporis geniculati lateralis	 AChA branches that supply the lateral genticulate body.  //	FMA71459:Set of branches of anterior choroidal artery to lateral geniculate body
202.28	Branches to internal capsule	Rami capsulae internae	 AChA branches that supply the posterior part of the internal capsule.  //	FMA50118:Branch of anterior choroidal artery to genu of internal capsule
202.29	Branches to globus pallidus	Rami globi pallidi	 AChA branches that supply the globus pallidus.  //	FMA71463:Set of branches of anterior choroidal artery to globus pallidus
202.31	Branches to tuber cinereum	Rami tuberis cinereum	 //	FMA71469:Set of branches of anterior choroidal artery to tuber cinereum
202.32	Branches to hypothalamic nuclei 		  //	FMA71470:Set of branches of anterior choroidal artery to hypothalamic nuclei
202.33	Branches to substantia Nigra 		  //	FMA71472:Set of branches of anterior choroidal artery to substantia nigra
202.34	Branches to red nucleus 		  //	FMA71473:Set of branches of anterior choroidal artery to red nucleus
202.35	Branches to amygdaloid body 		  //	FMA71468:Set of branches of anterior choroidal artery to amygdaloid body
204.1	Anterior cerebral artery 		 One of the two terminal arteries of the internal carotid artery.  It runs posteriorly above the corpus callosum and supplies the greater part of the medial surface of the cerebrum. //	FMA50028:Anterior cerebral artery
204.2	Precommunical part	Pars precommunicalis	 Portion of the anterior cerebral artery proximal to the anterior communicating branch.  //	FMA50073:Precommunicating part of anterior cerebral artery
204.5	Long central artery (recurrent artery)	Arteria centralis longa (arteria recurrens) Heubner	 Retrograde branch that runs parallel to the anterior cerebral artery.  It penetrates the anterior perforated substance and supplies the middle and lateral parts of the lentiform nucleus, the head of the caudate nucleus and the anterior limb of the internal capsule. //	FMA50327:Distal medial striate artery
204.6	Anterior communicating artery	Arteria communicans anterior	 Unpaired connection between the right and left anterior cerebral arteries.  //	FMA50169:Anterior communicating artery
204.7	Anteromedial central branches	Rami centrales anteromediales	 Anteromedial central branches that penetrate uniformly into the cerebral substance.  //	FMA50170:Anteromedial central branch of anterior communicating artery
204.8	Postcommunical part of anterior cerebral artery	Pars postcommunicalis (ramus pericallosa)	 The part distal to the anterior communicating artery.  //	FMA50074:Postcommunicating part of anterior cerebral artery
204.9	Medial frontobasal artery (medial orbitofrontalis branch)	Arteria frontobasalis medialis (ramus orbitofrontalis medialis)	 Branch to the lower surface of the frontal lobe.  //	FMA50328:Medial frontobasal artery
204.10	Callosomarginal artery	Arteria callosomarginalis	 Segment of the anterior cerebral artery located in the sulcus of the corpus callosum.  //	FMA50330:Callosomarginal artery
204.11	Anteromedial frontal branch	Ramus frontalis anteromedialis	 Branch to the lower half of the medial side of the frontal lobe.  //	FMA50332:Anteromedial frontal branch of callosomarginal artery
204.12	Mediomedial frontal branch	Ramus frontalis mediomedialis	 Branch to the middle portion of the medial side of the frontal lobe.  //	FMA50333:Intermediomedial branch of callosomarginal artery
204.13	Posteromedial frontal branch	Ramus frontalis posteromedialis	 Branch to the posterior portion of the medial surface of the frontal lobe.  //	FMA50334:Posteromedial branch of callosomarginal artery
204.14	Cingular branch	Ramus cingularis	 Branch that supplies the cingulate sulcus.  //	FMA50335:Cingular branch of callosomarginal artery
204.15	Paracentral artery	Arteria paracentralis	 Branch of the anterior cerebral artery that supplies the area behind the central sulcus.  //	FMA50336:Paracentral branch of callosomarginal artery
204.16	Precuneal artery	Arteria precunealis	 It supplies the region in front of the cuneus.  //	FMA50339:Precuneal branch of pericallosal artery
204.17	Parieto-occipital artery	Arteria parieto-occipitalis	 Branch of the anterior cerebral artery that supplies the parieto-occipital sulcus.  //	FMA50340:Parieto-occipital branch of pericallosal artery
204.18	Middle cerebral artery	Arteria cerebri media	 Second terminal branch of internal carotid artery.  It lodges in the lateral sulcus between the frontal and temporal lobes and supplies the greater part of the lateral cerebral surface. //	FMA50079:Middle cerebral artery
204.19	Sphenoidal part	Pars sphenoidalis	 First part of the middle cerebral artery.  It takes a horizontal course somewhat parallel to the lesser wing of the sphenoid bone. //	FMA50365:Sphenoid part of middle cerebral artery
204.20	Anterolateral central arteries	Arteriae centrales anterolaterales (arteriae thalamostriatae anterolaterales)	 Branches that penetrate the anterior perforated substance  //	FMA71478:Set of anterolateral central arteries
204.21	Medial branches	Rami mediales	 They pass through the lentiform nucleus to the caudate nucleus and internal capsule.  //	FMA50430:Medial striate branch of middle cerebral artery
204.22	Lateral branches	Rami laterales	 They course laterally around the lentiform nucleus to the internal capsule and caudate nucleus.  //	FMA50386:Distal lateral striate branch of middle cerebral artery
204.23	Insular part	Pars insularis	 Collective term for branches of the middle cerebral artery that supply the insula.  //	FMA50368:Insular part of middle cerebral artery
204.24	Insular arteries	Arteriae insulares	 Branches that supply the insula.  //	FMA70792:Set of insular arteries
204.25	Lateral frontobasal artery	Arteria frontobasalis lateralis(ramus orbitofrontalis lateralis)	 Branch that supplies the lateroinferior frontal lobe. C  //	FMA50442:Lateral frontobasal artery
204.26	Anterior temporal artery	Arteria temporalis anterior	 Branch that supplies the frontal end of the two upper temporal gyri. C  //	FMA50382:Anterior temporal artery
