#Model:BodyParts3D
#Version:4.0
#Tree:is_a
#FJID	BPID	FMA_ID	FMA_Name
FJ1473M	BP8144	FMA38618	Humeral head of left flexor carpi ulnaris
FJ1474M	BP8015	FMA38561	Humeral head of left pronator teres
FJ1475M	BP8284	FMA38471	Left flexor digitorum superficialis
FJ1476M	BP8263	FMA23708	Interosseous membrane of left forearm
FJ1477M	BP8525	FMA37698	Lateral head of left triceps brachii
FJ1478M	BP8816	FMA37687	Long head of left biceps brachii
FJ1479M	BP8344	FMA37700	Long head of left triceps brachii
FJ1480M	BP8257	FMA37696	Medial head of left triceps brachii
FJ1481M	BP8248	FMA46122	Oblique head of left adductor pollicis
FJ1482M	BP8204	FMA37401	Opponens digiti minimi of left hand
FJ1483M	BP8706	FMA37387	Left abductor pollicis brevis
FJ1484M	BP9144	FMA38517	Left abductor pollicis longus
FJ1485M	BP8962	FMA37706	Left anconeus
FJ1486M	BP8684	FMA37669	Left brachialis
FJ1487M	BP8244	FMA38487	Left brachioradialis
FJ1488M	BP9055	FMA37666	Left coracobrachialis
FJ1489M	BP9287	FMA38499	Left extensor carpi radialis brevis
FJ1490M	BP9280	FMA38496	Left extensor carpi radialis longus
FJ1491M	BP8489	FMA38505	Left extensor digiti minimi
FJ1492M	BP8560	FMA38502	Left extensor digitorum
FJ1493M	BP8779	FMA38526	Left extensor indicis
FJ1494M	BP9253	FMA38520	Left extensor pollicis brevis
FJ1495M	BP8191	FMA38523	Left extensor pollicis longus
FJ1496M	BP8940	FMA38461	Left flexor carpi radialis
FJ1497M	BP7826	FMA38480	Left flexor digitorum profundus
FJ1498M	BP9106	FMA38484	Left flexor pollicis longus
FJ1499M	BP8284	FMA38471	Left flexor digitorum superficialis
FJ1500M	BP8965	FMA32548	Left infraspinatus muscle
FJ1501M	BP8596	FMA37391	Left opponens pollicis
FJ1502M	BP7781	FMA38464	Left palmaris longus
FJ1503M	BP7957	FMA38455	Left pronator quadratus
FJ1504M	BP8214	FMA13415	Left subscapularis
FJ1505M	BP8499	FMA38514	Left supinator
FJ1506M	BP8376	FMA32545	Left supraspinatus
FJ1507M	BP8287	FMA32552	Left teres major
FJ1508M	BP9197	FMA32554	Left teres minor
FJ1509M	BP8036	FMA42405	Set of dorsal interossei of left hand
FJ1510M	BP8053	FMA42399	Set of lumbricals of left hand
FJ1511M	BP8246	FMA42403	Set of palmar interossei of left hand
FJ1512M	BP9153	FMA37685	Short head of left biceps brachii
FJ1513M	BP8151	FMA34685	Spinal part of left deltoid
FJ1514M	BP8722	FMA65199	Superficial head of left flexor pollicis brevis
FJ1515M	BP8885	FMA46124	Transverse head of left adductor pollicis
FJ1516M	BP9043	FMA38563	Ulnar head of left pronator teres
FJ1517M	BP7970	FMA38508	Left extensor carpi ulnaris
FJ1518M	BP8540	FMA38620	Ulnar head of left flexor carpi ulnaris
FJ1520M	BP8225	FMA33583	Ascending part of left trapezius
FJ1521M	BP8267	FMA33587	Descending part of left trapezius
FJ1522M	BP8692	FMA23090	Left lumbar rotator
FJ1524M	BP9111	FMA81753	Left cervical rotator
FJ1525M	BP8398	FMA23083	Thoracic rotator
FJ1526M	BP8048	FMA22745	Left iliocostalis cervicis
FJ1527M	BP8937	FMA22741	Left iliocostalis lumborum
FJ1528M	BP8748	FMA22743	Left iliocostalis thoracis
FJ1532M	BP8746	FMA32541	Left levator scapulae
FJ1533M	BP9081	FMA22756	Left longissimus capitis
FJ1534M	BP9126	FMA22758	Left longissimus cervicis
FJ1535M	BP8985	FMA22753	Left longissimus thoracis
FJ1536M	BP9245	FMA13382	Left rhomboid major
FJ1537M	BP8585	FMA13384	Left rhomboid minor
FJ1538M	BP8700	FMA22877	Left semispinalis capitis
FJ1539M	BP8930	FMA22875	Left semispinalis cervicis
FJ1540M	BP8316	FMA22873	Left semispinalis thoracis
FJ1541M	BP9048	FMA13406	Left serratus posterior inferior
FJ1542M	BP8298	FMA13404	Left serratus posterior superior
FJ1543M	BP8423	FMA77179	Spinalis
FJ1544M	BP8979	FMA22780	Left spinalis thoracis
FJ1545M	BP8022	FMA22729	Left splenius capitis
FJ1546M	BP8241	FMA22727	Left splenius cervicis
FJ1547M	BP8895	FMA22850	Lateral lumbar intertransversarius
FJ1548M	BP8809	FMA22851	Medial lumbar intertransversarius
FJ1549M	BP9131	FMA71442	Set of anterior cervical intertransversarii
FJ1550M	BP8370	FMA71307	Set of interspinales lumborum
FJ1551M	BP9137	FMA22891	Left interspinalis thoracis
FJ1552M	BP9080	FMA71309	Set of interspinales cervicis
FJ1553M	BP8656	FMA71443	Set of posterior cervical intertransversarii
FJ1554M	BP8252	FMA33585	Transverse part of left trapezius
FJ1654M	BP10236	FMA50030	Left anterior cerebral artery
FJ1656M	BP8960	FMA50544	Anterior inferior cerebellar artery
FJ1657M	BP9243	FMA50533	Left anterior spinal artery
FJ1658M	BP8625	FMA50089	Left anterior choroidal artery
FJ1659M	BP10237	FMA50384	Left anterior temporal artery
FJ1660M	BP10240	FMA50370	Insular part of left middle cerebral artery
FJ1661M	BP8849	FMA50679	Anterior temporal branch of left lateral occipital artery
FJ1662M	BP10238	FMA50378	Anterolateral central branch of left middle cerebral artery
FJ1663M	BP10238	FMA50378	Anterolateral central branch of left middle cerebral artery
FJ1664M	BP8121	FMA77439	Artery of central sulcus
FJ1665M	BP8121	FMA77439	Artery of central sulcus
FJ1666M	BP9104	FMA50484	Artery of left postcentral sulcus
FJ1667M	BP8639	FMA50487	Left anterior parietal artery
FJ1668M	BP7944	FMA50481	Artery of left precentral sulcus
FJ1669M	BP7944	FMA50481	Artery of left precentral sulcus
FJ1670M	BP7944	FMA50481	Artery of left precentral sulcus
FJ1671M	BP9052	FMA50362	Precuneal branch of left pericallosal artery
FJ1673M	BP8550	FMA50477	Branch of left middle cerebral artery to left angular gyrus
FJ1674M	BP9083	FMA50147	Branch of left anterior choroidal artery to posterior limb of left internal capsule
FJ1675M	BP8898	FMA50671	Left thalamogeniculate artery
FJ1676M	BP8782	FMA50348	Left callosomarginal artery
FJ1677M	BP8663	FMA50685	Left splenial artery
FJ1678M	BP8663	FMA50685	Left splenial artery
FJ1679M	BP9258	FMA50429	Hypothalamic branch of left posterior communicating artery
FJ1680M	BP9027	FMA50681	Middle temporal branch of left lateral occipital artery
FJ1681M	BP8757	FMA50352	Intermediomedial branch of left callosomarginal artery
FJ1682M	BP8900	FMA4062	Left internal carotid artery
FJ1683M	BP8766	FMA50579	Lateral branch of left superior cerebellar artery
FJ1684M	BP8838	FMA50569	Lateral branch of left pontine artery
FJ1685M	BP8589	FMA50444	Left lateral frontobasal artery
FJ1686M	BP8589	FMA50444	Left lateral frontobasal artery
FJ1687M	BP8301	FMA50644	Left lateral occipital artery
FJ1688M	BP8697	FMA50582	Medial branch of left superior cerebellar artery
FJ1689M	BP8320	FMA50567	Medial branch of left pontine artery
FJ1690M	BP9050	FMA50344	Left medial frontobasal artery
FJ1691M	BP8486	FMA50646	Left medial occipital artery
FJ1692M	BP8591	FMA50367	Sphenoid part of left middle cerebral artery
FJ1693M	BP10239	FMA50468	Middle temporal branch of left middle cerebral artery
FJ1694M	BP10240	FMA50370	Insular part of left middle cerebral artery
FJ1695M	BP9113	FMA49870	Left ophthalmic artery
FJ1696M	BP7773	FMA50358	Paracentral branch of left callosomarginal artery
FJ1697M	BP7773	FMA50358	Paracentral branch of left callosomarginal artery
FJ1698M	BP7773	FMA50358	Paracentral branch of left callosomarginal artery
FJ1699M	BP9285	FMA50360	Left pericallosal artery
FJ1700M	BP7796	FMA50520	Left posterior inferior cerebellar artery
FJ1701M	BP7796	FMA50520	Left posterior inferior cerebellar artery
FJ1702M	BP7796	FMA50520	Left posterior inferior cerebellar artery
FJ1703M	BP7796	FMA50520	Left posterior inferior cerebellar artery
FJ1704M	BP7796	FMA50520	Left posterior inferior cerebellar artery
FJ1705M	BP7796	FMA50520	Left posterior inferior cerebellar artery
FJ1706M	BP7796	FMA50520	Left posterior inferior cerebellar artery
FJ1707M	BP7796	FMA50520	Left posterior inferior cerebellar artery
FJ1708M	BP7796	FMA50520	Left posterior inferior cerebellar artery
FJ1709M	BP7796	FMA50520	Left posterior inferior cerebellar artery
FJ1710M	BP7796	FMA50520	Left posterior inferior cerebellar artery
FJ1711M	BP7796	FMA50520	Left posterior inferior cerebellar artery
FJ1712M	BP9188	FMA50381	Left polar temporal artery
FJ1713M	BP8194	FMA50086	Left posterior communicating artery
FJ1714M	BP7835	FMA50642	Postcommunicating part of left posterior cerebral artery
FJ1715M	BP7796	FMA50520	Left posterior inferior cerebellar artery
FJ1716M	BP8879	FMA50490	Left posterior parietal artery
FJ1717M	BP10242	FMA50471	Posterior temporal branch of left middle cerebral artery
FJ1718M	BP10241	FMA76129	Trunk of inferior terminal branch of left middle cerebral artery
FJ1719M	BP8125	FMA71502	Set of posterior temporal branches of lateral occipital artery
FJ1720M	BP7893	FMA50665	Left thalamoperforating artery
FJ1721M	BP9000	FMA50661	Posteromedial central branch of left posterior cerebral artery
FJ1722M	BP9124	FMA50354	Posteromedial branch of left callosomarginal artery
FJ1723M	BP7976	FMA50640	Precommunicating part of left posterior cerebral artery
FJ1724M	BP8807	FMA50478	Left prefrontal artery
FJ1725M	BP8812	FMA4066	Left vertebral artery
FJ1726M	BP9290	FMA50575	Left superior cerebellar artery
FJ1727M	BP9134	FMA50673	Left posterior medial choroidal artery
FJ1728M	BP9238	FMA50697	Superior vermian branch of medial branch of left superior cerebellar artery
FJ1729M	BP8854	FMA50474	Temporo-occipital branch of left middle cerebral artery
FJ1816M	BP9165	FMA73310	Left medial geniculate body
FJ1252	BP5633	FMA59763	Gingiva of upper jaw
FJ1253	BP5634	FMA59764	Gingiva of lower jaw
FJ1254	BP5462	FMA55704	Left lower first secondary molar tooth
FJ1255	BP5472	FMA55693	Left lower first secondary premolar tooth
FJ1256	BP5459	FMA55703	Left lower second secondary molar tooth
FJ1257	BP5475	FMA55692	Left lower second secondary premolar tooth
FJ1258	BP5447	FMA57143	Left lower central secondary incisor tooth
FJ1259	BP5444	FMA57141	Left lower lateral secondary incisor tooth
FJ1260	BP5480	FMA55687	Left lower secondary canine tooth
FJ1261	BP5455	FMA55699	Left upper first secondary molar tooth
FJ1262	BP5468	FMA55690	Left upper first secondary premolar tooth
FJ1263	BP5453	FMA55700	Left upper second secondary molar tooth
FJ1264	BP5466	FMA55691	Left upper second secondary premolar tooth
FJ1265	BP5440	FMA55682	Left upper central secondary incisor tooth
FJ1266	BP5438	FMA55683	Left upper lateral secondary incisor tooth
FJ1267	BP5482	FMA55799	Left upper secondary canine tooth
FJ1268	BP5461	FMA55705	Right lower first secondary molar tooth
FJ1269	BP5471	FMA55694	Right lower first secondary premolar tooth
FJ1270	BP5458	FMA55706	Right lower second secondary molar tooth
FJ1271	BP5474	FMA55695	Right lower second secondary premolar tooth
FJ1272	BP5446	FMA57142	Right lower central secondary incisor tooth
FJ1273	BP5443	FMA57140	Right lower lateral secondary incisor tooth
FJ1274	BP5479	FMA55686	Right lower secondary canine tooth
FJ1275	BP5452	FMA55697	Right upper second secondary molar tooth
FJ1276	BP7680	FMA55698	Right upper first secondary molar tooth
FJ1277	BP7681	FMA55689	Right upper first secondary premolar tooth
FJ1278	BP7682	FMA55688	Right upper second secondary premolar tooth
FJ1279	BP7683	FMA55681	Right upper central secondary incisor tooth
FJ1280	BP7747	FMA55680	Right upper lateral secondary incisor tooth
FJ1281	BP7684	FMA55798	Right upper secondary canine tooth
FJ1282	BP6493	FMA58082	Anterior chamber of left eyeball
FJ1283	BP5734	FMA52677	Left anterior ethmoidal nerve
FJ1284	BP6508	FMA49145	Check ligament of left lateral rectus
FJ1285	BP5523	FMA58300	Left choroid
FJ1286	BP5523	FMA58300	Left choroid
FJ1287	BP5505	FMA58484	Left corona ciliaris
FJ1288	BP5704	FMA53550	Left ciliary ganglion
FJ1289	BP6523	FMA58240	Left cornea
FJ1290	BP5717	FMA52640	Left frontal nerve
FJ1291	BP6541	FMA49073	Left common tendinous ring
FJ1292	BP6500	FMA49148	Check ligament of left medial rectus
FJ1293	BP5756	FMA52577	Inferior branch of left oculomotor nerve
FJ1294	BP4948	FMA49051	Left inferior oblique
FJ1295	BP4945	FMA49047	Left inferior rectus
FJ1296	BP5728	FMA52699	Left infratrochlear nerve
FJ1297	BP5520	FMA58237	Left iris
FJ1298	BP5765	FMA59583	Left lacrimal canaliculus
FJ1299	BP4634	FMA59103	Left lacrimal gland
FJ1300	BP5746	FMA52630	Left lacrimal nerve
FJ1301	BP6676	FMA59542	Left lacrimal lake
FJ1302	BP5760	FMA59556	Left nasolacrimal duct
FJ1304	BP4942	FMA49055	Left lateral rectus
FJ1305	BP6529	FMA58243	Left lens
FJ1306	BP4939	FMA49049	Left levator palpebrae superioris
FJ1308	BP4935	FMA49057	Left medial rectus
FJ1309	BP5763	FMA59546	Left lacrimal sac
FJ1310	BP5743	FMA52670	Left nasociliary nerve
FJ1311	BP5731	FMA52674	Communicating branch of left nasociliary nerve with left ciliary ganglion
FJ1312	BP5749	FMA52623	Left ophthalmic nerve
FJ1313	BP5709	FMA50878	Left optic nerve
FJ1315	BP5724	FMA52716	Left posterior ethmoidal nerve
FJ1316	BP5501	FMA58608	Optic part of left retina
FJ1317	BP6520	FMA58272	Left sclera
FJ1318	BP5722	FMA82735	Left long ciliary nerve
FJ1319	BP6623	FMA7041	Short ciliary nerve
FJ1320	BP6487	FMA58840	Suspensory ligament of left lens
FJ1321	BP5753	FMA52575	Superior branch of left oculomotor nerve
FJ1322	BP4933	FMA49053	Left superior oblique
FJ1323	BP4930	FMA49045	Left superior rectus
FJ1324	BP4640	FMA59092	Tarsal plate of left upper eyelid
FJ1325	BP5740	FMA52657	Left supra-orbital nerve
FJ1326	BP5737	FMA52644	Left supratrochlear nerve
FJ1328	BP4643	FMA59090	Tarsal plate of left lower eyelid
FJ1329	BP5096	FMA49068	Trochlea of left superior oblique
FJ1330	BP4696	FMA50882	Left trochlear nerve
FJ1331	BP5491	FMA58829	Left vitreous body
FJ1332	BP6492	FMA58081	Anterior chamber of right eyeball
FJ1333	BP5733	FMA52676	Right anterior ethmoidal nerve
FJ1334	BP6507	FMA49144	Check ligament of right lateral rectus
FJ1335	BP6499	FMA49147	Check ligament of right medial rectus
FJ1336	BP5522	FMA58299	Right choroid
FJ1337	BP5522	FMA58299	Right choroid
FJ1338	BP5504	FMA58483	Right corona ciliaris
FJ1339	BP5703	FMA53549	Right ciliary ganglion
FJ1340	BP6522	FMA58239	Right cornea
FJ1341	BP5716	FMA52639	Right frontal nerve
FJ1342	BP6540	FMA49072	Right common tendinous ring
FJ1343	BP6511	FMA54159	Tendon of right levator palpebrae superioris
FJ1344	BP5755	FMA52576	Inferior branch of right oculomotor nerve
FJ1345	BP4947	FMA49050	Right inferior oblique
FJ1346	BP4944	FMA49046	Right inferior rectus
FJ1347	BP5727	FMA52698	Right infratrochlear nerve
FJ1348	BP5519	FMA58236	Right iris
FJ1349	BP5766	FMA59582	Right lacrimal canaliculus
FJ1350	BP4633	FMA59102	Right lacrimal gland
FJ1351	BP5745	FMA52629	Right lacrimal nerve
FJ1352	BP6675	FMA59541	Right lacrimal lake
FJ1353	BP5759	FMA59555	Right nasolacrimal duct
FJ1355	BP4941	FMA49054	Right lateral rectus
FJ1356	BP6530	FMA58242	Right lens
FJ1357	BP4938	FMA49048	Right levator palpebrae superioris
FJ1359	BP4936	FMA49056	Right medial rectus
FJ1360	BP5762	FMA59545	Right lacrimal sac
FJ1361	BP5742	FMA52669	Right nasociliary nerve
FJ1362	BP5730	FMA52673	Communicating branch of right nasociliary nerve with right ciliary ganglion
FJ1363	BP5748	FMA52622	Right ophthalmic nerve
FJ1364	BP5708	FMA50875	Right optic nerve
FJ1366	BP5725	FMA52715	Right posterior ethmoidal nerve
FJ1367	BP5500	FMA58607	Optic part of right retina
FJ1368	BP6519	FMA58271	Right sclera
FJ1369	BP5721	FMA82734	Right long ciliary nerve
FJ1370	BP6623	FMA7041	Short ciliary nerve
FJ1371	BP6488	FMA58839	Suspensory ligament of right lens
FJ1372	BP5752	FMA52574	Superior branch of right oculomotor nerve
FJ1373	BP4932	FMA49052	Right superior oblique
FJ1374	BP4929	FMA49044	Right superior rectus
FJ1375	BP4639	FMA59091	Tarsal plate of right upper eyelid
FJ1376	BP5739	FMA52656	Right supra-orbital nerve
FJ1377	BP5736	FMA52643	Right supratrochlear nerve
FJ1379	BP4642	FMA59089	Tarsal plate of right lower eyelid
FJ1380	BP5095	FMA49067	Trochlea of right superior oblique
FJ1381	BP4695	FMA50881	Right trochlear nerve
FJ1382	BP5490	FMA58828	Right vitreous body
FJ1383	BP5044	FMA37717	First lumbrical of right foot
FJ1384	BP5035	FMA37745	First plantar interosseous of right foot
FJ1385	BP5040	FMA37719	Second lumbrical of right foot
FJ1386	BP5033	FMA37743	Second plantar interosseous of right foot
FJ1387	BP5038	FMA37485	Third lumbrical of right foot
FJ1388	BP5031	FMA37741	Third plantar interosseous of right foot
FJ1389	BP5042	FMA37483	Fourth lumbrical of right foot
FJ1390	BP5056	FMA37463	Abductor digiti minimi of right foot
FJ1391	BP5050	FMA37471	Flexor digiti minimi brevis of right foot
FJ1392	BP4649	FMA35192	Interosseous membrane of right leg
FJ1393	BP5548	FMA45973	Lateral head of right flexor hallucis brevis
FJ1394	BP5541	FMA45960	Lateral head of right gastrocnemius
FJ1395	BP5575	FMA45888	Long head of right biceps femoris
FJ1396	BP5546	FMA45971	Medial head of right flexor hallucis brevis
FJ1397	BP5539	FMA45957	Medial head of right gastrocnemius
FJ1398	BP5578	FMA46018	Oblique head of right adductor hallucis
FJ1399	BP5046	FMA86034	Opponens digiti minimi of right foot
FJ1400	BP5054	FMA37459	Right abductor hallucis
FJ1401	BP4986	FMA22452	Right adductor brevis
FJ1402	BP4984	FMA22456	Right adductor longus
FJ1403	BP4982	FMA22459	Right adductor magnus
FJ1404	BP4980	FMA43886	Right adductor minimus
FJ1405	BP5098	FMA258847	Right calcaneal tendon
FJ1406	BP5024	FMA22548	Right extensor digitorum longus
FJ1407	BP5059	FMA51144	Right extensor hallucis brevis
FJ1408	BP5022	FMA22546	Right extensor hallucis longus
FJ1409	BP5015	FMA22554	Right fibularis brevis
FJ1410	BP5013	FMA22552	Right fibularis longus
FJ1411	BP5020	FMA22550	Right fibularis tertius
FJ1412	BP5052	FMA37465	Right flexor accessorius
FJ1413	BP5048	FMA37461	Right flexor digitorum brevis
FJ1414	BP5010	FMA65016	Right flexor digitorum longus
FJ1415	BP5008	FMA65014	Right flexor hallucis longus
FJ1416	BP5070	FMA22336	Right gemellus inferior
FJ1417	BP5068	FMA22334	Right gemellus superior
FJ1418	BP5065	FMA22328	Right gluteus maximus
FJ1419	BP5063	FMA22330	Right gluteus medius
FJ1420	BP5083	FMA22332	Right gluteus minimus
FJ1421	BP4976	FMA43883	Right gracilis
FJ1422	BP5085	FMA22322	Right iliacus
FJ1423	BP5628	FMA58776	Right iliotibial tract
FJ1424	BP5093	FMA44249	Right long plantar ligament
FJ1425	BP5081	FMA22326	Right obturator externus
FJ1426	BP5079	FMA22324	Right obturator internus
FJ1427	BP4978	FMA22450	Right pectineus
FJ1428	BP5076	FMA22340	Right piriformis
FJ1429	BP5001	FMA22560	Right plantaris
FJ1430	BP5006	FMA22591	Right popliteus
FJ1431	BP4701	FMA22342	Right psoas major
FJ1432	BP5074	FMA22338	Right quadratus femoris
FJ1433	BP5598	FMA38928	Right rectus femoris
FJ1434	BP4994	FMA22354	Right sartorius
FJ1435	BP4989	FMA22448	Right semimembranosus
FJ1436	BP4991	FMA22358	Right semitendinosus
FJ1437	BP4999	FMA22558	Right soleus
FJ1438	BP5072	FMA22425	Right tensor fasciae latae
FJ1439	BP5018	FMA22544	Right tibialis anterior
FJ1440	BP5004	FMA65018	Right tibialis posterior
FJ1441	BP5604	FMA38934	Right vastus intermedius
FJ1442	BP5602	FMA38930	Right vastus lateralis
FJ1443	BP5600	FMA38932	Right vastus medialis
FJ1444	BP5573	FMA45891	Short head of right biceps femoris
FJ1445	BP5580	FMA46020	Transverse head of right adductor hallucis
FJ1446	BP5615	FMA45874	Abdominal part of right pectoralis major
FJ1447	BP5582	FMA34690	Clavicular part of right pectoralis major
FJ1448	BP6616	FMA11336	Linea alba
FJ1450	BP8934	FMA21930	External anal sphincter
FJ1451	BP8306	FMA9756	External intercostal muscle
FJ1452	BP4967	FMA13336	Right external oblique
FJ1454	BP9146	FMA9758	Innermost intercostal muscle
FJ1455	BP8018	FMA9757	Internal intercostal muscle
FJ1456	BP4775	FMA13375	Right pectoralis minor
FJ1459	BP4782	FMA13398	Right serratus anterior
FJ1460	BP4773	FMA13412	Right subclavius
FJ1461	BP4963	FMA9761	Right transversus thoracis
FJ1462	BP6639	FMA74077	Set of right levatores costarum breves
FJ1463	BP6637	FMA74075	Set of right levatores costarum longi
FJ1464	BP5613	FMA79979	Sternocostal part of right pectoralis major
FJ1465	BP9016	FMA46442	Tendinous arch of levator ani
FJ1466	BP7569	FMA37396	Abductor digiti minimi of right hand
FJ1467	BP7571	FMA34682	Acromial part of right deltoid
FJ1468	BP7573	FMA34680	Clavicular part of right deltoid
FJ1469	BP7575	FMA37389	Left flexor pollicis brevis
FJ1470	BP4858	FMA37398	Flexor digiti minimi brevis of right hand
FJ1471	BP6527	FMA40120	Flexor retinaculum of right wrist
FJ1472	BP4829	FMA38507	Right extensor carpi ulnaris
FJ1473	BP5570	FMA38617	Humeral head of right flexor carpi ulnaris
FJ1474	BP5568	FMA38560	Humeral head of right pronator teres
FJ1475	BP4837	FMA38470	Right flexor digitorum superficialis
FJ1476	BP4651	FMA23707	Interosseous membrane of right forearm
FJ1477	BP5550	FMA37697	Lateral head of right triceps brachii
FJ1478	BP5566	FMA37686	Long head of right biceps brachii
FJ1479	BP5564	FMA37699	Long head of right triceps brachii
FJ1480	BP5562	FMA37695	Medial head of right triceps brachii
FJ1481	BP5560	FMA46121	Oblique head of right adductor pollicis
FJ1482	BP4860	FMA37400	Opponens digiti minimi of right hand
FJ1483	BP4855	FMA37386	Right abductor pollicis brevis
FJ1484	BP4820	FMA38516	Right abductor pollicis longus
FJ1485	BP4802	FMA37705	Right anconeus
FJ1486	BP4807	FMA37668	Right brachialis
FJ1487	BP4833	FMA38486	Right brachioradialis
FJ1488	BP4805	FMA37665	Right coracobrachialis
FJ1489	BP4823	FMA38498	Right extensor carpi radialis brevis
FJ1490	BP4831	FMA38495	Right extensor carpi radialis longus
