#Model:BodyParts3D
#Version:4.0
#Tree:part_of
#FJID	BPID	FMA_ID	FMA_Name
FJ1423M	BP10015	FMA58777	Left iliotibial tract
FJ1294	BP7385	FMA49051	Left inferior oblique
FJ1295	BP7384	FMA49047	Left inferior rectus
FJ1297	BP7117	FMA58237	Left iris
FJ1298	BP7372	FMA59583	Left lacrimal canaliculus
FJ1299	BP7109	FMA59103	Left lacrimal gland
FJ1301	BP7374	FMA59542	Left lacrimal lake
FJ1302	BP7373	FMA59556	Left nasolacrimal duct
FJ1304	BP7383	FMA49055	Left lateral rectus
FJ1305	BP7120	FMA58243	Left lens
FJ1306	BP7377	FMA49049	Left levator palpebrae superioris
FJ1308	BP7380	FMA49057	Left medial rectus
FJ1309	BP7371	FMA59546	Left lacrimal sac
FJ1317	BP7114	FMA58272	Left sclera
FJ1320	BP7118	FMA58840	Suspensory ligament of left lens
FJ1322	BP7379	FMA49053	Left superior oblique
FJ1323	BP7378	FMA49045	Left superior rectus
FJ1324	BP7376	FMA59092	Tarsal plate of left upper eyelid
FJ1328	BP7382	FMA59090	Tarsal plate of left lower eyelid
FJ1331	BP7119	FMA58829	Left vitreous body
FJ1336	BP7097	FMA58299	Right choroid
FJ1337	BP7097	FMA58299	Right choroid
FJ1340	BP7100	FMA58239	Right cornea
FJ1345	BP7428	FMA49050	Right inferior oblique
FJ1346	BP7427	FMA49046	Right inferior rectus
FJ1348	BP7096	FMA58236	Right iris
FJ1349	BP7423	FMA59582	Right lacrimal canaliculus
FJ1350	BP7105	FMA59102	Right lacrimal gland
FJ1352	BP7426	FMA59541	Right lacrimal lake
FJ1353	BP7424	FMA59555	Right nasolacrimal duct
FJ1355	BP7420	FMA49054	Right lateral rectus
FJ1356	BP7104	FMA58242	Right lens
FJ1357	BP7413	FMA49048	Right levator palpebrae superioris
FJ1359	BP7417	FMA49056	Right medial rectus
FJ1360	BP7425	FMA59545	Right lacrimal sac
FJ1368	BP7101	FMA58271	Right sclera
FJ1371	BP7102	FMA58839	Suspensory ligament of right lens
FJ1373	BP7416	FMA49052	Right superior oblique
FJ1374	BP7415	FMA49044	Right superior rectus
FJ1375	BP7412	FMA59091	Tarsal plate of right upper eyelid
FJ1379	BP7419	FMA59089	Tarsal plate of right lower eyelid
FJ1382	BP7103	FMA58828	Right vitreous body
FJ1423	BP6717	FMA58776	Right iliotibial tract
FJ1426	BP7536	FMA22324	Right obturator internus
FJ1428	BP7535	FMA22340	Right piriformis
FJ1431	BP7527	FMA22342	Right psoas major
FJ1446	BP6970	FMA45874	Abdominal part of right pectoralis major
FJ1450	BP10061	FMA21930	External anal sphincter
FJ1452	BP7530	FMA13336	Right external oblique
FJ1456	BP6968	FMA13375	Right pectoralis minor
FJ1459	BP6959	FMA13398	Right serratus anterior
FJ1460	BP6967	FMA13412	Right subclavius
FJ1461	BP7511	FMA9761	Right transversus thoracis
FJ1464	BP6971	FMA79979	Sternocostal part of right pectoralis major
FJ1471	BP6722	FMA40120	Flexor retinaculum of right wrist
FJ1485	BP6988	FMA37705	Right anconeus
FJ1532	BP6962	FMA32540	Right levator scapulae
FJ1536	BP6961	FMA13381	Right rhomboid major
FJ1537	BP6960	FMA13383	Right rhomboid minor
FJ2417	BP10131	FMA7247	Left anterior cusp of pulmonary valve
FJ2418	BP9842	FMA7265	Anterolateral head of lateral papillary muscle of left ventricle
FJ2419	BP10231	FMA7260	Anterior papillary muscle of right ventricle
FJ2420	BP9874	FMA7242	Anterior leaflet of mitral valve
FJ2421	BP9920	FMA7238	Anterior leaflet of tricuspid valve
FJ2422	BP10057	FMA9466	Cavity of left ventricle
FJ2423	BP10208	FMA9291	Cavity of right ventricle
FJ2424	BP9906	FMA11359	Cavity of right atrium
FJ2425	BP9925	FMA9465	Cavity of left atrium
FJ2426	BP9993	FMA7254	Left posterior cusp of aortic valve
FJ2427	BP9867	FMA7250	Posterior cusp of pulmonary valve
FJ2429	BP9853	FMA7264	Lateral papillary muscle of left ventricle
FJ2430	BP9637	FMA7261	Posterior papillary muscle of right ventricle
FJ2431	BP9446	FMA7252	Right posterior cusp of aortic valve
FJ2432	BP9998	FMA7243	Posterior leaflet of mitral valve
FJ2433	BP9829	FMA7239	Posterior leaflet of tricuspid valve
FJ2434	BP10108	FMA7249	Right anterior cusp of pulmonary valve
FJ2435	BP9760	FMA7253	Anterior cusp of aortic valve
FJ2436	BP9887	FMA7240	Septal leaflet of tricuspid valve
FJ2437	BP9594	FMA7262	Septal papillary muscle of right ventricle
FJ2438	BP10221	FMA9531	Wall of left atrium
FJ2439	BP9921	FMA9457	Wall of right atrium
FJ2441	BP10152	FMA68227	Inferior lingular bronchial tree
FJ2442	BP9943	FMA68230	Left medial basal segmental bronchial tree
FJ2443	BP9474	FMA68222	Left anterior segmental bronchial tree
FJ2444	BP9676	FMA68223	Left apical segmental bronchial tree
FJ2445	BP10117	FMA68232	Left lateral basal segmental bronchial tree
FJ2446	BP9860	FMA68233	Left posterior basal segmental bronchial tree
FJ2447	BP9913	FMA68225	Left posterior segmental bronchial tree
FJ2448	BP9761	FMA68228	Left superior segmental bronchial tree
FJ2449	BP9520	FMA68215	Lateral segmental bronchial tree
FJ2450	BP9732	FMA7396	Left main bronchus
FJ2451	BP9722	FMA68214	Medial segmental bronchial tree
FJ2452	BP9684	FMA68321	Right anterior basal segmental bronchial tree
FJ2453	BP9525	FMA68212	Right anterior segmental bronchial tree
FJ2454	BP9592	FMA68211	Right apical segmental bronchial tree
FJ2455	BP9606	FMA68220	Right lateral basal segmental bronchial tree
FJ2456	BP9489	FMA68218	Right medial basal segmental bronchial tree
FJ2457	BP9468	FMA68221	Right posterior basal segmental bronchial tree
FJ2458	BP9884	FMA68213	Right posterior segmental bronchial tree
FJ2459	BP9539	FMA68216	Right superior segmental bronchial tree
FJ2460	BP9676	FMA68223	Left apical segmental bronchial tree
FJ2461	BP9676	FMA68223	Left apical segmental bronchial tree
FJ2462	BP9676	FMA68223	Left apical segmental bronchial tree
FJ2463	BP9676	FMA68223	Left apical segmental bronchial tree
FJ2464	BP9676	FMA68223	Left apical segmental bronchial tree
FJ2465	BP9913	FMA68225	Left posterior segmental bronchial tree
FJ2466	BP9913	FMA68225	Left posterior segmental bronchial tree
FJ2467	BP9474	FMA68222	Left anterior segmental bronchial tree
FJ2468	BP9474	FMA68222	Left anterior segmental bronchial tree
FJ2469	BP9474	FMA68222	Left anterior segmental bronchial tree
FJ2470	BP9468	FMA68221	Right posterior basal segmental bronchial tree
FJ2471	BP9474	FMA68222	Left anterior segmental bronchial tree
FJ2472	BP9474	FMA68222	Left anterior segmental bronchial tree
FJ2473	BP9474	FMA68222	Left anterior segmental bronchial tree
FJ2474	BP9474	FMA68222	Left anterior segmental bronchial tree
FJ2475	BP10152	FMA68227	Inferior lingular bronchial tree
FJ2476	BP9981	FMA68226	Superior lingular bronchial tree
FJ2477	BP9981	FMA68226	Superior lingular bronchial tree
FJ2478	BP9981	FMA68226	Superior lingular bronchial tree
FJ2479	BP9761	FMA68228	Left superior segmental bronchial tree
FJ2480	BP9761	FMA68228	Left superior segmental bronchial tree
FJ2481	BP9468	FMA68221	Right posterior basal segmental bronchial tree
FJ2482	BP9761	FMA68228	Left superior segmental bronchial tree
FJ2483	BP9761	FMA68228	Left superior segmental bronchial tree
FJ2484	BP9761	FMA68228	Left superior segmental bronchial tree
FJ2485	BP9761	FMA68228	Left superior segmental bronchial tree
FJ2486	BP9468	FMA68221	Right posterior basal segmental bronchial tree
FJ2487	BP9468	FMA68221	Right posterior basal segmental bronchial tree
FJ2488	BP9489	FMA68218	Right medial basal segmental bronchial tree
FJ2489	BP9468	FMA68221	Right posterior basal segmental bronchial tree
FJ2490	BP9606	FMA68220	Right lateral basal segmental bronchial tree
FJ2491	BP9606	FMA68220	Right lateral basal segmental bronchial tree
FJ2492	BP9606	FMA68220	Right lateral basal segmental bronchial tree
FJ2493	BP9684	FMA68321	Right anterior basal segmental bronchial tree
FJ2494	BP9684	FMA68321	Right anterior basal segmental bronchial tree
FJ2495	BP9539	FMA68216	Right superior segmental bronchial tree
FJ2496	BP9539	FMA68216	Right superior segmental bronchial tree
FJ2497	BP9539	FMA68216	Right superior segmental bronchial tree
FJ2498	BP9539	FMA68216	Right superior segmental bronchial tree
FJ2499	BP9539	FMA68216	Right superior segmental bronchial tree
FJ2500	BP9539	FMA68216	Right superior segmental bronchial tree
FJ2501	BP9539	FMA68216	Right superior segmental bronchial tree
FJ2502	BP9539	FMA68216	Right superior segmental bronchial tree
FJ2503	BP9520	FMA68215	Lateral segmental bronchial tree
FJ2504	BP9520	FMA68215	Lateral segmental bronchial tree
FJ2505	BP9520	FMA68215	Lateral segmental bronchial tree
FJ2506	BP9722	FMA68214	Medial segmental bronchial tree
FJ2507	BP9722	FMA68214	Medial segmental bronchial tree
FJ2508	BP9722	FMA68214	Medial segmental bronchial tree
FJ2509	BP9525	FMA68212	Right anterior segmental bronchial tree
FJ2510	BP9525	FMA68212	Right anterior segmental bronchial tree
FJ2511	BP9525	FMA68212	Right anterior segmental bronchial tree
FJ2512	BP9525	FMA68212	Right anterior segmental bronchial tree
FJ2513	BP9525	FMA68212	Right anterior segmental bronchial tree
FJ2514	BP9525	FMA68212	Right anterior segmental bronchial tree
FJ2515	BP9884	FMA68213	Right posterior segmental bronchial tree
FJ2516	BP9884	FMA68213	Right posterior segmental bronchial tree
FJ2517	BP9884	FMA68213	Right posterior segmental bronchial tree
FJ2518	BP9884	FMA68213	Right posterior segmental bronchial tree
FJ2519	BP9884	FMA68213	Right posterior segmental bronchial tree
FJ2520	BP9592	FMA68211	Right apical segmental bronchial tree
FJ2521	BP9592	FMA68211	Right apical segmental bronchial tree
FJ2522	BP9592	FMA68211	Right apical segmental bronchial tree
FJ2523	BP9592	FMA68211	Right apical segmental bronchial tree
FJ2524	BP9592	FMA68211	Right apical segmental bronchial tree
FJ2525	BP9592	FMA68211	Right apical segmental bronchial tree
FJ2526	BP9592	FMA68211	Right apical segmental bronchial tree
FJ2527	BP9860	FMA68233	Left posterior basal segmental bronchial tree
FJ2528	BP9860	FMA68233	Left posterior basal segmental bronchial tree
FJ2529	BP9860	FMA68233	Left posterior basal segmental bronchial tree
FJ2530	BP9860	FMA68233	Left posterior basal segmental bronchial tree
FJ2531	BP9860	FMA68233	Left posterior basal segmental bronchial tree
FJ2532	BP10117	FMA68232	Left lateral basal segmental bronchial tree
FJ2533	BP10117	FMA68232	Left lateral basal segmental bronchial tree
FJ2534	BP10117	FMA68232	Left lateral basal segmental bronchial tree
FJ2535	BP9552	FMA68231	Left anterior basal segmental bronchial tree
FJ2536	BP9552	FMA68231	Left anterior basal segmental bronchial tree
FJ2537	BP9943	FMA68230	Left medial basal segmental bronchial tree
FJ2538	BP9552	FMA68231	Left anterior basal segmental bronchial tree
FJ2539	BP9931	FMA68418	Right main bronchus proper
FJ2540	BP9981	FMA68226	Superior lingular bronchial tree
FJ2541	BP9373	FMA7394	Trachea
FJ2543	BP10061	FMA21930	External anal sphincter
FJ2548	BP10061	FMA21930	External anal sphincter
FJ1654	BP9915	FMA50029	Right anterior cerebral artery
FJ1655	BP6762	FMA50169	Anterior communicating artery
FJ1656	BP10073	FMA50544	Anterior inferior cerebellar artery
FJ1657	BP7692	FMA50532	Right anterior spinal artery
FJ1658	BP7693	FMA50088	Right anterior choroidal artery
FJ1661	BP7694	FMA50678	Anterior temporal branch of right lateral occipital artery
FJ1662	BP9812	FMA50377	Anterolateral central branch of right middle cerebral artery
FJ1663	BP9812	FMA50377	Anterolateral central branch of right middle cerebral artery
FJ1672	BP9431	FMA50542	Basilar artery
FJ1675	BP7699	FMA50670	Right thalamogeniculate artery
FJ1677	BP7700	FMA50684	Right splenial artery
FJ1678	BP7700	FMA50684	Right splenial artery
FJ1680	BP7702	FMA50680	Middle temporal branch of right lateral occipital artery
FJ1682	BP9518	FMA3949	Right internal carotid artery
FJ1684	BP7703	FMA50568	Lateral branch of right pontine artery
FJ1687	BP7695	FMA50643	Right lateral occipital artery
FJ1689	BP7705	FMA50566	Medial branch of right pontine artery
FJ1691	BP7701	FMA50645	Right medial occipital artery
FJ1692	BP7706	FMA50366	Sphenoid part of right middle cerebral artery
FJ1695	BP7708	FMA49869	Right ophthalmic artery
FJ1700	BP7709	FMA50519	Right posterior inferior cerebellar artery
FJ1701	BP7709	FMA50519	Right posterior inferior cerebellar artery
FJ1702	BP7709	FMA50519	Right posterior inferior cerebellar artery
FJ1703	BP7709	FMA50519	Right posterior inferior cerebellar artery
FJ1704	BP7709	FMA50519	Right posterior inferior cerebellar artery
FJ1705	BP7709	FMA50519	Right posterior inferior cerebellar artery
FJ1706	BP7709	FMA50519	Right posterior inferior cerebellar artery
FJ1707	BP7709	FMA50519	Right posterior inferior cerebellar artery
FJ1708	BP7709	FMA50519	Right posterior inferior cerebellar artery
FJ1709	BP7709	FMA50519	Right posterior inferior cerebellar artery
FJ1710	BP7709	FMA50519	Right posterior inferior cerebellar artery
FJ1711	BP7709	FMA50519	Right posterior inferior cerebellar artery
FJ1713	BP7710	FMA50085	Right posterior communicating artery
FJ1715	BP7709	FMA50519	Right posterior inferior cerebellar artery
FJ1720	BP7711	FMA50664	Right thalamoperforating artery
FJ1723	BP7712	FMA50639	Precommunicating part of right posterior cerebral artery
FJ1725	BP9432	FMA3958	Right vertebral artery
FJ1726	BP7713	FMA50574	Right superior cerebellar artery
FJ1727	BP7714	FMA50672	Right posterior medial choroidal artery
FJ1730	BP6685	FMA78454	Third ventricle
FJ1731	BP6686	FMA78469	Fourth ventricle
FJ1732	BP10539	FMA72670	Left angular gyrus
FJ1733	BP10541	FMA72669	Right angular gyrus
FJ1737	BP6682	FMA78497	Central canal of spinal cord
FJ1738	BP6684	FMA78467	Cerebral aqueduct
FJ1739	BP10546	FMA72718	Left cingulate gyrus
FJ1740	BP10555	FMA72717	Right cingulate gyrus
FJ1743	BP6699	FMA62032	Habenula
FJ1744	BP10548	FMA72658	Left inferior frontal gyrus
FJ1745	BP10510	FMA72657	Right inferior frontal gyrus
FJ1746	BP10504	FMA72688	Left inferior temporal gyrus
FJ1747	BP10553	FMA72687	Right inferior temporal gyrus
FJ1748	BP10554	FMA72978	Left insula
FJ1749	BP10549	FMA72977	Right insula
FJ1750	BP10532	FMA72907	Left internal capsule
FJ1751	BP10516	FMA72906	Right internal capsule
FJ1758	BP10489	FMA260794	White matter of left cerebral hemisphere
FJ1759	BP10528	FMA72714	Left hippocampus
FJ1760	BP6690	FMA62008	Hypothalamus
FJ1762	BP10551	FMA73435	Left inferior colliculus
FJ1767	BP10543	FMA78450	Left lateral ventricle
FJ1769	BP6704	FMA62004	Medulla oblongata
FJ1770	BP6705	FMA61993	Midbrain
FJ1775	BP6703	FMA67943	Pons
FJ1779	BP10493	FMA73423	Left superior colliculus
FJ1780	BP6692	FMA62327	Tuber cinereum
FJ1781	BP6702	FMA67944	Cerebellum
FJ1783	BP10521	FMA72690	Left fusiform gyrus
FJ1784	BP10522	FMA72689	Right fusiform gyrus
FJ1785	BP10508	FMA72706	Left parahippocampal gyrus
FJ1786	BP10518	FMA72705	Right parahippocampal gyrus
FJ1787	BP10540	FMA72656	Left middle frontal gyrus
FJ1788	BP10538	FMA72655	Right middle frontal gyrus
FJ1789	BP10517	FMA72686	Left middle temporal gyrus
FJ1790	BP10520	FMA72685	Right middle temporal gyrus
FJ1791	BP10550	FMA72976	Left occipital lobe
FJ1792	BP10509	FMA72975	Right occipital lobe
FJ1795	BP6698	FMA62033	Pineal body
FJ1796	BP6711	FMA13889	Pituitary gland
FJ1797	BP10547	FMA72666	Left postcentral gyrus
FJ1798	BP10552	FMA72665	Right postcentral gyrus
FJ1800	BP10542	FMA72662	Left precentral gyrus
FJ1801	BP10535	FMA72661	Right precentral gyrus
FJ1806	BP10496	FMA260791	White matter of right cerebral hemisphere
FJ1807	BP10499	FMA72713	Right hippocampus
FJ1808	BP6690	FMA62008	Hypothalamus
FJ1810	BP10495	FMA73434	Right inferior colliculus
FJ1814	BP10503	FMA78449	Right lateral ventricle
FJ1817	BP6705	FMA61993	Midbrain
FJ1822	BP6703	FMA67943	Pons
FJ1826	BP10545	FMA73422	Right superior colliculus
FJ1828	BP6692	FMA62327	Tuber cinereum
FJ1830	BP6702	FMA67944	Cerebellum
FJ1831	BP6704	FMA62004	Medulla oblongata
FJ1833	BP10523	FMA72654	Left superior frontal gyrus
FJ1834	BP10533	FMA72653	Right superior frontal gyrus
FJ1835	BP10534	FMA72672	Left superior parietal lobule
FJ1836	BP10536	FMA72671	Right superior parietal lobule
FJ1841	BP10506	FMA72668	Left supramarginal gyrus
FJ1842	BP10544	FMA72667	Right supramarginal gyrus
FJ1844	BP9431	FMA50542	Basilar artery
FJ2554	BP9691	FMA59505	Right major alar cartilage
FJ2555	BP9678	FMA59506	Left major alar cartilage
FJ2556	BP9826	FMA59513	Left lateral nasal cartilage
FJ2557	BP9893	FMA59503	Septal nasal cartilage
FJ2558	BP9659	FMA59512	Right lateral nasal cartilage
FJ3396	BP10169	FMA14643	Mesentery of small intestine
FJ3397	BP10096	FMA16549	Mesoappendix
FJ3398	BP10185	FMA14647	Transverse mesocolon
FJ2562	BP9789	FMA14773	Splenic artery
FJ2563	BP10206	FMA7131	Esophagus
FJ2564	BP9480	FMA7148	Stomach
FJ2565	BP10087	FMA14542	Appendix
FJ2566	BP10190	FMA14545	Ascending colon
FJ2567	BP9937	FMA14547	Descending colon
FJ2568	BP10040	FMA15044	Taenia libera
FJ2569	BP9834	FMA15042	Taenia mesocolica
FJ2570	BP10141	FMA15043	Taenia omentalis
FJ2571	BP10203	FMA14544	Rectum
FJ2572	BP9746	FMA14546	Transverse colon
FJ2573	BP9885	FMA7206	Duodenum
FJ2574	BP9639	FMA14964	Proximal part of ileum
FJ2575	BP9639	FMA14964	Proximal part of ileum
FJ2576	BP9350	FMA14965	Middle part of ileum
FJ2577	BP9350	FMA14965	Middle part of ileum
FJ2578	BP9350	FMA14965	Middle part of ileum
FJ2579	BP9350	FMA14965	Middle part of ileum
FJ2580	BP9350	FMA14965	Middle part of ileum
FJ2581	BP9350	FMA14965	Middle part of ileum
FJ2582	BP9350	FMA14965	Middle part of ileum
FJ2583	BP9350	FMA14965	Middle part of ileum
FJ2584	BP9350	FMA14965	Middle part of ileum
FJ2585	BP9639	FMA14964	Proximal part of ileum
FJ2586	BP9350	FMA14965	Middle part of ileum
FJ2587	BP9690	FMA14966	Distal part of ileum
FJ2588	BP9690	FMA14966	Distal part of ileum
FJ2589	BP9690	FMA14966	Distal part of ileum
FJ2590	BP9690	FMA14966	Distal part of ileum
FJ2591	BP9690	FMA14966	Distal part of ileum
FJ2592	BP9690	FMA14966	Distal part of ileum
FJ2593	BP9690	FMA14966	Distal part of ileum
FJ2594	BP9690	FMA14966	Distal part of ileum
FJ2595	BP9690	FMA14966	Distal part of ileum
FJ2596	BP9639	FMA14964	Proximal part of ileum
FJ2597	BP9690	FMA14966	Distal part of ileum
FJ2598	BP9690	FMA14966	Distal part of ileum
FJ2599	BP9988	FMA11338	Ileocecal junction
FJ2600	BP9639	FMA14964	Proximal part of ileum
FJ2601	BP9639	FMA14964	Proximal part of ileum
FJ2602	BP9639	FMA14964	Proximal part of ileum
FJ2603	BP9639	FMA14964	Proximal part of ileum
FJ2604	BP9639	FMA14964	Proximal part of ileum
FJ2605	BP9639	FMA14964	Proximal part of ileum
FJ2606	BP9588	FMA16981	Proximal part of jejunum
FJ2607	BP9482	FMA16982	Middle part of jejunum
FJ2608	BP9482	FMA16982	Middle part of jejunum
FJ2609	BP9482	FMA16982	Middle part of jejunum
FJ2610	BP9482	FMA16982	Middle part of jejunum
FJ2611	BP9681	FMA16983	Distal part of jejunum
FJ2612	BP9681	FMA16983	Distal part of jejunum
FJ2613	BP9681	FMA16983	Distal part of jejunum
FJ2614	BP9681	FMA16983	Distal part of jejunum
FJ2615	BP9681	FMA16983	Distal part of jejunum
FJ2616	BP9681	FMA16983	Distal part of jejunum
FJ2617	BP9588	FMA16981	Proximal part of jejunum
FJ2618	BP9681	FMA16983	Distal part of jejunum
FJ2619	BP9681	FMA16983	Distal part of jejunum
FJ2620	BP9681	FMA16983	Distal part of jejunum
FJ2621	BP9681	FMA16983	Distal part of jejunum
FJ2622	BP9588	FMA16981	Proximal part of jejunum
FJ2623	BP9588	FMA16981	Proximal part of jejunum
FJ2624	BP9588	FMA16981	Proximal part of jejunum
FJ2625	BP9588	FMA16981	Proximal part of jejunum
FJ2626	BP9588	FMA16981	Proximal part of jejunum
FJ2627	BP9588	FMA16981	Proximal part of jejunum
FJ2628	BP9482	FMA16982	Middle part of jejunum
FJ2629	BP10192	FMA63120	Parenchyma of pancreas
FJ2630	BP9652	FMA63103	Pancreatic duct tree
FJ1846	BP9380	FMA50737	Celiac artery
FJ1853	BP9461	FMA50735	Hepatic portal vein
FJ1883	BP7465	FMA71889	Caudate lobe tributary of left hepatic biliary tree
FJ1893	BP9694	FMA15415	Left portal vein
FJ1895	BP9653	FMA7198	Pancreas
FJ1896	BP6710	FMA10419	Pancreatic duct
FJ1913	BP9460	FMA15414	Right portal vein
FJ1914	BP6746	FMA82706	Caudate lobe branch of right portal vein
FJ1916	BP6949	FMA70447	Caudate lobe branch of right hepatic artery
FJ1928	BP10385	FMA14749	Superior mesenteric artery
FJ1931	BP6895	FMA87217	Descending thoracic aorta
FJ1932	BP6896	FMA3789	Abdominal aorta
FJ1934	BP6933	FMA4149	Esophageal artery
FJ1935	BP6820	FMA5042	Right superior intercostal artery
FJ1936	BP6788	FMA3988	Right superior epigastric artery
FJ1937	BP6787	FMA3969	Right internal thoracic artery
FJ1938	BP6796	FMA22675	Right lateral thoracic artery
FJ1967	BP6926	FMA4634	Right subcostal artery
FJ1969	BP6789	FMA10692	Right musculophrenic artery
FJ1970	BP6888	FMA4088	Left superior intercostal artery
FJ1971	BP6870	FMA4083	Left superior epigastric artery
FJ1972	BP6869	FMA4068	Left internal thoracic artery
FJ1976	BP6885	FMA22676	Left lateral thoracic artery
FJ1977	BP6929	FMA4654	Left subcostal artery
FJ1979	BP6871	FMA4077	Left musculophrenic artery
FJ1986	BP7497	FMA4797	Left superior intercostal vein
FJ1993	BP6755	FMA4758	Right internal thoracic vein
FJ2011	BP10385	FMA14749	Superior mesenteric artery
FJ2013	BP9380	FMA50737	Celiac artery
FJ2025	BP6831	FMA14824	Marginal colic artery
FJ2034	BP7718	FMA14819	Ileal branch of inferior branch of ileocolic artery
FJ2038	BP10417	FMA14752	Right renal artery
FJ2041	BP9744	FMA8620	Right anterior segmental artery
FJ2044	BP9744	FMA8620	Right anterior segmental artery
FJ2046	BP10403	FMA14753	Left renal artery
FJ2055	BP6901	FMA43916	Right dorsalis pedis artery
FJ2058	BP6922	FMA69517	Distal perforating artery
FJ2064	BP6922	FMA69517	Distal perforating artery
FJ2065	BP6846	FMA43897	Left anterior tibial artery
FJ2067	BP6849	FMA69495	Left arcuate artery
FJ2069	BP6845	FMA22508	Left descending genicular artery
FJ2073	BP6847	FMA43917	Left dorsalis pedis artery
FJ2074	BP10376	FMA70250	Left femoral artery
FJ2078	BP6844	FMA20802	Left lateral circumflex femoral artery
FJ2079	BP6838	FMA43932	Left lateral plantar artery
FJ2081	BP6848	FMA69491	Left lateral tarsal artery
FJ2082	BP6836	FMA43930	Left medial plantar artery
FJ2085	BP6840	FMA43944	Left plantar arch
FJ2086	BP6850	FMA77381	Left popliteal artery
FJ2087	BP6835	FMA43899	Left posterior tibial artery
FJ2089	BP6837	FMA43938	Left superficial medial plantar artery
FJ2096	BP6921	FMA43956	Plantar metatarsal artery
FJ2130	BP6900	FMA43896	Right anterior tibial artery
FJ2133	BP6902	FMA69494	Right arcuate artery
FJ2137	BP6908	FMA22507	Right descending genicular artery
FJ2143	BP10394	FMA70249	Right femoral artery
FJ2158	BP6907	FMA20801	Right lateral circumflex femoral artery
FJ2159	BP6910	FMA43931	Right lateral plantar artery
FJ2163	BP6903	FMA69490	Right lateral tarsal artery
FJ2164	BP6913	FMA43929	Right medial plantar artery
FJ2169	BP6912	FMA43943	Right plantar arch
FJ2170	BP6915	FMA77380	Right popliteal artery
