#Model:BodyParts3D
#Version:4.1
#Tree:is_a
#FJID	BPID	FMA_ID	FMA_Name
FJ3673	BP14930	FMA55563	Left inferior parathyroid gland
FJ1432M	BP12507	FMA22339	Left quadratus femoris
FJ1433M	BP12063	FMA38929	Left rectus femoris
FJ1434M	BP12673	FMA22355	Left sartorius
FJ1435M	BP14364	FMA22449	Left semimembranosus
FJ1436M	BP14683	FMA22359	Left semitendinosus
FJ1437M	BP12632	FMA22559	Left soleus
FJ1438M	BP12789	FMA22426	Left tensor fasciae latae
FJ1439M	BP12549	FMA22545	Left tibialis anterior
FJ1440M	BP14724	FMA65019	Left tibialis posterior
FJ1441M	BP14749	FMA38935	Left vastus intermedius
FJ1442M	BP12575	FMA38931	Left vastus lateralis
FJ1443M	BP14712	FMA38933	Left vastus medialis
FJ1444M	BP13126	FMA45892	Short head of left biceps femoris
FJ1445M	BP10668	FMA46021	Transverse head of left adductor hallucis
FJ1446M	BP13450	FMA45875	Abdominal part of left pectoralis major
FJ1447M	BP14700	FMA34691	Clavicular part of left pectoralis major
FJ1449M	BP14722	FMA46444	Left coccygeus
FJ1450M	BP12697	FMA21930	External anal sphincter
FJ1451M	BP13512	FMA9756	External intercostal muscle
FJ1452M	BP12181	FMA13337	Left external oblique
FJ1453M	BP13298	FMA45859	Left iliococcygeus
FJ1454M	BP12777	FMA9758	Innermost intercostal muscle
FJ1455M	BP14424	FMA9757	Internal intercostal muscle
FJ1456M	BP12741	FMA13376	Left pectoralis minor
FJ1457M	BP14355	FMA45855	Left pubococcygeus
FJ1458M	BP12222	FMA45857	Left puborectalis
FJ1459M	BP12580	FMA13399	Left serratus anterior
FJ1460M	BP13125	FMA13411	Left subclavius
FJ1461M	BP14669	FMA9762	Left transversus thoracis
FJ1462M	BP12515	FMA74078	Set of left levatores costarum breves
FJ1463M	BP12353	FMA74076	Set of left levatores costarum longi
FJ1464M	BP13505	FMA79980	Sternocostal part of left pectoralis major
FJ1465M	BP13597	FMA46442	Tendinous arch of levator ani
FJ1466M	BP10694	FMA37397	Abductor digiti minimi of left hand
FJ1467M	BP14686	FMA34683	Acromial part of left deltoid
FJ1468M	BP12239	FMA34681	Clavicular part of left deltoid
FJ1469M	BP12708	FMA37388	Right flexor pollicis brevis
FJ1470M	BP12393	FMA37399	Flexor digiti minimi brevis of left hand
FJ1471M	BP12142	FMA40121	Flexor retinaculum of left wrist
FJ1472M	BP12112	FMA38508	Left extensor carpi ulnaris
FJ1473M	BP14477	FMA38618	Humeral head of left flexor carpi ulnaris
FJ1474M	BP13538	FMA38561	Humeral head of left pronator teres
FJ1475M	BP13300	FMA38471	Left flexor digitorum superficialis
FJ1476M	BP12242	FMA23708	Interosseous membrane of left forearm
FJ1477M	BP12398	FMA37698	Lateral head of left triceps brachii
FJ1478M	BP12630	FMA37687	Long head of left biceps brachii
FJ1479M	BP12281	FMA37700	Long head of left triceps brachii
FJ1480M	BP12237	FMA37696	Medial head of left triceps brachii
FJ1481M	BP12236	FMA46122	Oblique head of left adductor pollicis
FJ1482M	BP14478	FMA37401	Opponens digiti minimi of left hand
FJ1483M	BP12541	FMA37387	Left abductor pollicis brevis
FJ1484M	BP14720	FMA38517	Left abductor pollicis longus
FJ1485M	BP12711	FMA37706	Left anconeus
FJ1486M	BP12523	FMA37669	Left brachialis
FJ1487M	BP13511	FMA38487	Left brachioradialis
FJ1488M	BP14676	FMA37666	Left coracobrachialis
FJ1489M	BP12838	FMA38499	Left extensor carpi radialis brevis
FJ1490M	BP14779	FMA38496	Left extensor carpi radialis longus
FJ1491M	BP12372	FMA38505	Left extensor digiti minimi
FJ1492M	BP12070	FMA38502	Left extensor digitorum
FJ1493M	BP10795	FMA38526	Left extensor indicis
FJ1494M	BP14764	FMA38520	Left extensor pollicis brevis
FJ1495M	BP12204	FMA38523	Left extensor pollicis longus
FJ1496M	BP12703	FMA38461	Left flexor carpi radialis
FJ1497M	BP13484	FMA38480	Left flexor digitorum profundus
FJ1498M	BP14705	FMA38484	Left flexor pollicis longus
FJ1499M	BP13300	FMA38471	Left flexor digitorum superficialis
FJ1500M	BP14635	FMA32548	Left infraspinatus muscle
FJ1501M	BP12455	FMA37391	Left opponens pollicis
FJ1502M	BP14349	FMA38464	Left palmaris longus
FJ1503M	BP14254	FMA38455	Left pronator quadratus
FJ1504M	BP14484	FMA13415	Left subscapularis
FJ1505M	BP12382	FMA38514	Left supinator
FJ1506M	BP12295	FMA32545	Left supraspinatus
FJ1507M	BP13853	FMA32552	Left teres major
FJ1508M	BP12798	FMA32554	Left teres minor
FJ1509M	BP13591	FMA42405	Set of dorsal interossei of left hand
FJ1510M	BP13740	FMA42399	Set of lumbricals of left hand
FJ1511M	BP13221	FMA42403	Set of palmar interossei of left hand
FJ1512M	BP12783	FMA37685	Short head of left biceps brachii
FJ1513M	BP10774	FMA34685	Spinal part of left deltoid
FJ1514M	BP12551	FMA65199	Superficial head of left flexor pollicis brevis
FJ1515M	BP12681	FMA46124	Transverse head of left adductor pollicis
FJ1516M	BP12745	FMA38563	Ulnar head of left pronator teres
FJ1517M	BP12112	FMA38508	Left extensor carpi ulnaris
FJ1518M	BP12411	FMA38620	Ulnar head of left flexor carpi ulnaris
FJ1520M	BP14488	FMA33583	Ascending part of left trapezius
FJ1521M	BP14498	FMA33587	Descending part of left trapezius
FJ1522M	BP12529	FMA23090	Left lumbar rotator
FJ1524M	BP12766	FMA81753	Left cervical rotator
FJ1525M	BP12308	FMA23083	Thoracic rotator
FJ1526M	BP14439	FMA22745	Left iliocostalis cervicis
FJ1527M	BP12700	FMA22741	Left iliocostalis lumborum
FJ1528M	BP12571	FMA22743	Left iliocostalis thoracis
FJ1532M	BP12569	FMA32541	Left levator scapulae
FJ1533M	BP14691	FMA22756	Left longissimus capitis
FJ1534M	BP14710	FMA22758	Left longissimus cervicis
FJ1535M	BP14643	FMA22753	Left longissimus thoracis
FJ1536M	BP12824	FMA13382	Left rhomboid major
FJ1537M	BP12446	FMA13384	Left rhomboid minor
FJ1538M	BP12536	FMA22877	Left semispinalis capitis
FJ1539M	BP14622	FMA22875	Left semispinalis cervicis
FJ1540M	BP14507	FMA22873	Left semispinalis thoracis
FJ1541M	BP11331	FMA13406	Left serratus posterior inferior
FJ1542M	BP12257	FMA13404	Left serratus posterior superior
FJ1543M	BP12327	FMA77179	Spinalis
FJ1544M	BP12723	FMA22780	Left spinalis thoracis
FJ1545M	BP14426	FMA22729	Left splenius capitis
FJ1546M	BP12231	FMA22727	Left splenius cervicis
FJ1547M	BP14600	FMA22850	Lateral lumbar intertransversarius
FJ1548M	BP12624	FMA22851	Medial lumbar intertransversarius
FJ1549M	BP12771	FMA71442	Set of anterior cervical intertransversarii
FJ1550M	BP12291	FMA71307	Set of interspinales lumborum
FJ1551M	BP12775	FMA22891	Left interspinalis thoracis
FJ1552M	BP14690	FMA71309	Set of interspinales cervicis
FJ1553M	BP12504	FMA71443	Set of posterior cervical intertransversarii
FJ1554M	BP13620	FMA33585	Transverse part of left trapezius
FJ1654M	BP14785	FMA50030	Left anterior cerebral artery
FJ1656M	BP10823	FMA50544	Anterior inferior cerebellar artery
FJ1657M	BP12823	FMA50533	Left anterior spinal artery
FJ1658M	BP12477	FMA50089	Left anterior choroidal artery
FJ1659M	BP14786	FMA50384	Left anterior temporal artery
FJ1660M	BP12841	FMA50370	Insular part of left middle cerebral artery
FJ1661M	BP12654	FMA50679	Anterior temporal branch of left lateral occipital artery
FJ1662M	BP12839	FMA50378	Anterolateral central branch of left middle cerebral artery
FJ1663M	BP12839	FMA50378	Anterolateral central branch of left middle cerebral artery
FJ1664M	BP12073	FMA77439	Artery of central sulcus
FJ1665M	BP12073	FMA77439	Artery of central sulcus
FJ1666M	BP14703	FMA50484	Artery of left postcentral sulcus
FJ1667M	BP12489	FMA50487	Left anterior parietal artery
FJ1668M	BP14406	FMA50481	Artery of left precentral sulcus
FJ1669M	BP14406	FMA50481	Artery of left precentral sulcus
FJ1670M	BP14406	FMA50481	Artery of left precentral sulcus
FJ1671M	BP14674	FMA50362	Precuneal branch of left pericallosal artery
FJ1673M	BP13301	FMA50477	Branch of left middle cerebral artery to left angular gyrus
FJ1674M	BP14693	FMA50147	Branch of left anterior choroidal artery to posterior limb of left internal capsule
FJ1675M	BP14603	FMA50671	Left thalamogeniculate artery
FJ1676M	BP12599	FMA50348	Left callosomarginal artery
FJ1677M	BP12509	FMA50685	Left splenial artery
FJ1678M	BP12509	FMA50685	Left splenial artery
FJ1679M	BP12825	FMA50429	Hypothalamic branch of left posterior communicating artery
FJ1680M	BP12735	FMA50681	Middle temporal branch of left lateral occipital artery
FJ1681M	BP13381	FMA50352	Intermediomedial branch of left callosomarginal artery
FJ1682M	BP14604	FMA4062	Left internal carotid artery
FJ1683M	BP12586	FMA50579	Lateral branch of left superior cerebellar artery
FJ1684M	BP12645	FMA50569	Lateral branch of left pontine artery
FJ1685M	BP12450	FMA50444	Left lateral frontobasal artery
FJ1686M	BP12450	FMA50444	Left lateral frontobasal artery
FJ1687M	BP12258	FMA50644	Left lateral occipital artery
FJ1688M	BP12533	FMA50582	Medial branch of left superior cerebellar artery
FJ1689M	BP12025	FMA50567	Medial branch of left pontine artery
FJ1690M	BP12749	FMA50344	Left medial frontobasal artery
FJ1691M	BP12370	FMA50646	Left medial occipital artery
FJ1692M	BP12451	FMA50367	Sphenoid part of left middle cerebral artery
FJ1693M	BP12840	FMA50468	Middle temporal branch of left middle cerebral artery
FJ1694M	BP12841	FMA50370	Insular part of left middle cerebral artery
FJ1695M	BP12767	FMA49870	Left ophthalmic artery
FJ1696M	BP10991	FMA50358	Paracentral branch of left callosomarginal artery
FJ1697M	BP10991	FMA50358	Paracentral branch of left callosomarginal artery
FJ1698M	BP10991	FMA50358	Paracentral branch of left callosomarginal artery
FJ1699M	BP12836	FMA50360	Left pericallosal artery
FJ1700M	BP12988	FMA50520	Left posterior inferior cerebellar artery
FJ1701M	BP12988	FMA50520	Left posterior inferior cerebellar artery
FJ1702M	BP12988	FMA50520	Left posterior inferior cerebellar artery
FJ1703M	BP12988	FMA50520	Left posterior inferior cerebellar artery
FJ1704M	BP12988	FMA50520	Left posterior inferior cerebellar artery
FJ1705M	BP12988	FMA50520	Left posterior inferior cerebellar artery
FJ1706M	BP12988	FMA50520	Left posterior inferior cerebellar artery
FJ1707M	BP12988	FMA50520	Left posterior inferior cerebellar artery
FJ1708M	BP12988	FMA50520	Left posterior inferior cerebellar artery
FJ1709M	BP12988	FMA50520	Left posterior inferior cerebellar artery
FJ1710M	BP12988	FMA50520	Left posterior inferior cerebellar artery
FJ1711M	BP12988	FMA50520	Left posterior inferior cerebellar artery
FJ1712M	BP12792	FMA50381	Left polar temporal artery
FJ1713M	BP12207	FMA50086	Left posterior communicating artery
FJ1714M	BP14366	FMA50642	Postcommunicating part of left posterior cerebral artery
FJ1715M	BP12988	FMA50520	Left posterior inferior cerebellar artery
FJ1716M	BP12676	FMA50490	Left posterior parietal artery
FJ1717M	BP12842	FMA50471	Posterior temporal branch of left middle cerebral artery
FJ1718M	BP11085	FMA76129	Trunk of inferior terminal branch of left middle cerebral artery
FJ1719M	BP12170	FMA71502	Set of posterior temporal branches of lateral occipital artery
FJ1720M	BP14207	FMA50665	Left thalamoperforating artery
FJ1721M	BP14650	FMA50661	Posteromedial central branch of left posterior cerebral artery
FJ1722M	BP14709	FMA50354	Posteromedial branch of left callosomarginal artery
FJ1723M	BP12115	FMA50640	Precommunicating part of left posterior cerebral artery
FJ1724M	BP12622	FMA50478	Left prefrontal artery
FJ1725M	BP12626	FMA4066	Left vertebral artery
FJ1726M	BP14784	FMA50575	Left superior cerebellar artery
FJ1727M	BP12774	FMA50673	Left posterior medial choroidal artery
FJ1728M	BP12820	FMA50697	Superior vermian branch of medial branch of left superior cerebellar artery
FJ1729M	BP12658	FMA50474	Temporo-occipital branch of left middle cerebral artery
FJ1816M	BP14730	FMA73310	Left medial geniculate body
FJ3667	BP14936	FMA8491	Left tenth costal cartilage
FJ3667M	BP14958	FMA8464	Right tenth costal cartilage
FJ3668	BP14937	FMA8329	Left eighth costal cartilage
FJ3668M	BP14956	FMA8302	Right eighth costal cartilage
FJ3669	BP14932	FMA8410	Left ninth costal cartilage
FJ3669M	BP14957	FMA8383	Right ninth costal cartilage
FJ1252	BP13605	FMA59763	Gingiva of upper jaw
FJ1253	BP13613	FMA59764	Gingiva of lower jaw
FJ1254	BP13533	FMA55704	Left lower first secondary molar tooth
FJ1255	BP13544	FMA55693	Left lower first secondary premolar tooth
FJ1256	BP13530	FMA55703	Left lower second secondary molar tooth
FJ1257	BP11268	FMA55692	Left lower second secondary premolar tooth
FJ1258	BP13518	FMA57143	Left lower central secondary incisor tooth
FJ1259	BP13515	FMA57141	Left lower lateral secondary incisor tooth
FJ1260	BP13547	FMA55687	Left lower secondary canine tooth
FJ1261	BP11263	FMA55699	Left upper first secondary molar tooth
FJ1262	BP13542	FMA55690	Left upper first secondary premolar tooth
FJ1263	BP11261	FMA55700	Left upper second secondary molar tooth
FJ1264	BP13540	FMA55691	Left upper second secondary premolar tooth
FJ1265	BP11256	FMA55682	Left upper central secondary incisor tooth
FJ1266	BP11255	FMA55683	Left upper lateral secondary incisor tooth
FJ1267	BP11270	FMA55799	Left upper secondary canine tooth
FJ1268	BP13532	FMA55705	Right lower first secondary molar tooth
FJ1269	BP13543	FMA55694	Right lower first secondary premolar tooth
FJ1270	BP13529	FMA55706	Right lower second secondary molar tooth
FJ1271	BP11267	FMA55695	Right lower second secondary premolar tooth
FJ1272	BP13517	FMA57142	Right lower central secondary incisor tooth
FJ1273	BP13514	FMA57140	Right lower lateral secondary incisor tooth
FJ1274	BP13546	FMA55686	Right lower secondary canine tooth
FJ1275	BP11260	FMA55697	Right upper second secondary molar tooth
FJ1276	BP14157	FMA55698	Right upper first secondary molar tooth
FJ1277	BP14158	FMA55689	Right upper first secondary premolar tooth
FJ1278	BP11611	FMA55688	Right upper second secondary premolar tooth
FJ1279	BP11870	FMA55681	Right upper central secondary incisor tooth
FJ1280	BP14160	FMA55680	Right upper lateral secondary incisor tooth
FJ1281	BP11612	FMA55798	Right upper secondary canine tooth
FJ1282	BP14022	FMA58082	Anterior chamber of left eyeball
FJ1283	BP13663	FMA52677	Left anterior ethmoidal nerve
FJ1284	BP11525	FMA49145	Check ligament of left lateral rectus
FJ1285	BP13559	FMA58300	Left choroid
FJ1286	BP13559	FMA58300	Left choroid
FJ1287	BP13552	FMA58484	Left corona ciliaris
FJ1288	BP13646	FMA53550	Left ciliary ganglion
FJ1289	BP14036	FMA58240	Left cornea
FJ1290	BP13651	FMA52640	Left frontal nerve
FJ1291	BP14037	FMA49073	Left common tendinous ring
FJ1292	BP14027	FMA49148	Check ligament of left medial rectus
FJ1293	BP13682	FMA52577	Inferior branch of left oculomotor nerve
FJ1294	BP13423	FMA49051	Left inferior oblique
FJ1295	BP13417	FMA49047	Left inferior rectus
FJ1296	BP13656	FMA52699	Left infratrochlear nerve
FJ1297	BP11296	FMA58237	Left iris
FJ1298	BP13690	FMA59583	Left lacrimal canaliculus
FJ1299	BP11183	FMA59103	Left lacrimal gland
FJ1300	BP11338	FMA52630	Left lacrimal nerve
FJ1301	BP14097	FMA59542	Left lacrimal lake
FJ1302	BP13685	FMA59556	Left nasolacrimal duct
FJ1304	BP13414	FMA49055	Left lateral rectus
FJ1305	BP11532	FMA58243	Left lens
FJ1306	BP13412	FMA49049	Left levator palpebrae superioris
FJ1308	BP11237	FMA49057	Left medial rectus
FJ1309	BP13688	FMA59546	Left lacrimal sac
FJ1310	BP13672	FMA52670	Left nasociliary nerve
FJ1311	BP13660	FMA52674	Communicating branch of left nasociliary nerve with left ciliary ganglion
FJ1312	BP13674	FMA52623	Left ophthalmic nerve
FJ1313	BP11325	FMA50878	Left optic nerve
FJ1315	BP11336	FMA52716	Left posterior ethmoidal nerve
FJ1316	BP11284	FMA58608	Optic part of left retina
FJ1317	BP14033	FMA58272	Left sclera
FJ1318	BP11334	FMA82735	Left long ciliary nerve
FJ1319	BP14072	FMA7041	Short ciliary nerve
FJ1320	BP11517	FMA58840	Suspensory ligament of left lens
FJ1321	BP13680	FMA52575	Superior branch of left oculomotor nerve
FJ1322	BP13411	FMA49053	Left superior oblique
FJ1323	BP11234	FMA49045	Left superior rectus
FJ1324	BP11185	FMA59092	Tarsal plate of left upper eyelid
FJ1325	BP13669	FMA52657	Left supra-orbital nerve
FJ1326	BP13666	FMA52644	Left supratrochlear nerve
FJ1328	BP12053	FMA59090	Tarsal plate of left lower eyelid
FJ1329	BP13472	FMA49068	Trochlea of left superior oblique
FJ1330	BP11191	FMA50882	Left trochlear nerve
FJ1331	BP11276	FMA58829	Left vitreous body
FJ1332	BP11522	FMA58081	Anterior chamber of right eyeball
FJ1333	BP13662	FMA52676	Right anterior ethmoidal nerve
FJ1334	BP14029	FMA49144	Check ligament of right lateral rectus
FJ1335	BP11524	FMA49147	Check ligament of right medial rectus
FJ1336	BP13558	FMA58299	Right choroid
FJ1337	BP13558	FMA58299	Right choroid
FJ1338	BP11287	FMA58483	Right corona ciliaris
FJ1339	BP13645	FMA53549	Right ciliary ganglion
FJ1340	BP14035	FMA58239	Right cornea
FJ1341	BP13650	FMA52639	Right frontal nerve
FJ1342	BP11537	FMA49072	Right common tendinous ring
FJ1343	BP14030	FMA54159	Tendon of right levator palpebrae superioris
FJ1344	BP12032	FMA52576	Inferior branch of right oculomotor nerve
FJ1345	BP13422	FMA49050	Right inferior oblique
FJ1346	BP13416	FMA49046	Right inferior rectus
FJ1347	BP13655	FMA52698	Right infratrochlear nerve
FJ1348	BP11295	FMA58236	Right iris
FJ1349	BP13692	FMA59582	Right lacrimal canaliculus
FJ1350	BP11182	FMA59102	Right lacrimal gland
FJ1351	BP11337	FMA52629	Right lacrimal nerve
FJ1352	BP14096	FMA59541	Right lacrimal lake
FJ1353	BP13684	FMA59555	Right nasolacrimal duct
FJ1355	BP13413	FMA49054	Right lateral rectus
FJ1356	BP11533	FMA58242	Right lens
FJ1357	BP11240	FMA49048	Right levator palpebrae superioris
FJ1359	BP11238	FMA49056	Right medial rectus
FJ1360	BP13687	FMA59545	Right lacrimal sac
FJ1361	BP13671	FMA52669	Right nasociliary nerve
FJ1362	BP13658	FMA52673	Communicating branch of right nasociliary nerve with right ciliary ganglion
FJ1363	BP11340	FMA52622	Right ophthalmic nerve
FJ1364	BP11324	FMA50875	Right optic nerve
FJ1366	BP13654	FMA52715	Right posterior ethmoidal nerve
FJ1367	BP11283	FMA58607	Optic part of right retina
FJ1368	BP11531	FMA58271	Right sclera
FJ1369	BP11333	FMA82734	Right long ciliary nerve
FJ1370	BP14072	FMA7041	Short ciliary nerve
FJ1371	BP11518	FMA58839	Suspensory ligament of right lens
FJ1372	BP13679	FMA52574	Superior branch of right oculomotor nerve
FJ1373	BP13410	FMA49052	Right superior oblique
FJ1374	BP11233	FMA49044	Right superior rectus
FJ1375	BP13314	FMA59091	Tarsal plate of right upper eyelid
FJ1376	BP13668	FMA52656	Right supra-orbital nerve
FJ1377	BP13665	FMA52643	Right supratrochlear nerve
FJ1379	BP13316	FMA59089	Tarsal plate of right lower eyelid
FJ1380	BP13471	FMA49067	Trochlea of right superior oblique
FJ1381	BP11190	FMA50881	Right trochlear nerve
FJ1382	BP11275	FMA58828	Right vitreous body
FJ1383	BP13452	FMA37717	First lumbrical of right foot
FJ1384	BP13447	FMA37745	First plantar interosseous of right foot
FJ1385	BP13449	FMA37719	Second lumbrical of right foot
FJ1386	BP13446	FMA37743	Second plantar interosseous of right foot
FJ1387	BP13448	FMA37485	Third lumbrical of right foot
FJ1388	BP13445	FMA37741	Third plantar interosseous of right foot
FJ1389	BP13451	FMA37483	Fourth lumbrical of right foot
FJ1390	BP13458	FMA37463	Abductor digiti minimi of right foot
FJ1391	BP13455	FMA37471	Flexor digiti minimi brevis of right foot
FJ1392	BP11186	FMA35192	Interosseous membrane of right leg
FJ1393	BP13571	FMA45973	Lateral head of right flexor hallucis brevis
FJ1394	BP13568	FMA45960	Lateral head of right gastrocnemius
FJ1395	BP13585	FMA45888	Long head of right biceps femoris
FJ1396	BP13570	FMA45971	Medial head of right flexor hallucis brevis
FJ1397	BP13566	FMA45957	Medial head of right gastrocnemius
FJ1398	BP10910	FMA46018	Oblique head of right adductor hallucis
FJ1399	BP13453	FMA86034	Opponens digiti minimi of right foot
FJ1400	BP13457	FMA37459	Right abductor hallucis
FJ1401	BP11245	FMA22452	Right adductor brevis
FJ1402	BP11244	FMA22456	Right adductor longus
FJ1403	BP11243	FMA22459	Right adductor magnus
FJ1404	BP13428	FMA43886	Right adductor minimus
FJ1405	BP12987	FMA258847	Right calcaneal tendon
FJ1406	BP11247	FMA22548	Right extensor digitorum longus
FJ1407	BP11248	FMA51144	Right extensor hallucis brevis
FJ1408	BP13443	FMA22546	Right extensor hallucis longus
FJ1409	BP13440	FMA22554	Right fibularis brevis
FJ1410	BP13439	FMA22552	Right fibularis longus
FJ1411	BP13442	FMA22550	Right fibularis tertius
FJ1412	BP13456	FMA37465	Right flexor accessorius
FJ1413	BP13454	FMA37461	Right flexor digitorum brevis
FJ1414	BP13438	FMA65016	Right flexor digitorum longus
FJ1415	BP13435	FMA65014	Right flexor hallucis longus
FJ1416	BP13462	FMA22336	Right gemellus inferior
FJ1417	BP13461	FMA22334	Right gemellus superior
FJ1418	BP13459	FMA22328	Right gluteus maximus
FJ1419	BP11249	FMA22330	Right gluteus medius
FJ1420	BP10928	FMA22332	Right gluteus minimus
FJ1421	BP13426	FMA43883	Right gracilis
FJ1422	BP11250	FMA22322	Right iliacus
FJ1423	BP13603	FMA58776	Right iliotibial tract
FJ1424	BP13469	FMA44249	Right long plantar ligament
FJ1425	BP13467	FMA22326	Right obturator externus
FJ1426	BP13466	FMA22324	Right obturator internus
FJ1427	BP13427	FMA22450	Right pectineus
FJ1428	BP13465	FMA22340	Right piriformis
FJ1429	BP13432	FMA22560	Right plantaris
FJ1430	BP13434	FMA22591	Right popliteus
FJ1431	BP12031	FMA22342	Right psoas major
FJ1432	BP13464	FMA22338	Right quadratus femoris
FJ1433	BP13589	FMA38928	Right rectus femoris
FJ1434	BP13431	FMA22354	Right sartorius
FJ1435	BP13429	FMA22448	Right semimembranosus
FJ1436	BP13430	FMA22358	Right semitendinosus
FJ1437	BP11246	FMA22558	Right soleus
FJ1438	BP13463	FMA22425	Right tensor fasciae latae
FJ1439	BP13441	FMA22544	Right tibialis anterior
FJ1440	BP13433	FMA65018	Right tibialis posterior
FJ1441	BP11305	FMA38934	Right vastus intermedius
FJ1442	BP13598	FMA38930	Right vastus lateralis
FJ1443	BP13590	FMA38932	Right vastus medialis
FJ1444	BP13584	FMA45891	Short head of right biceps femoris
FJ1445	BP13586	FMA46020	Transverse head of right adductor hallucis
FJ1446	BP13600	FMA45874	Abdominal part of right pectoralis major
FJ1447	BP13587	FMA34690	Clavicular part of right pectoralis major
FJ1448	BP11568	FMA11336	Linea alba
FJ1450	BP12697	FMA21930	External anal sphincter
FJ1451	BP13512	FMA9756	External intercostal muscle
FJ1452	BP13425	FMA13336	Right external oblique
FJ1454	BP12777	FMA9758	Innermost intercostal muscle
FJ1455	BP14424	FMA9757	Internal intercostal muscle
FJ1456	BP11207	FMA13375	Right pectoralis minor
FJ1459	BP13342	FMA13398	Right serratus anterior
FJ1460	BP11206	FMA13412	Right subclavius
FJ1461	BP13424	FMA9761	Right transversus thoracis
FJ1462	BP11573	FMA74077	Set of right levatores costarum breves
FJ1463	BP11572	FMA74075	Set of right levatores costarum longi
FJ1464	BP13599	FMA79979	Sternocostal part of right pectoralis major
FJ1465	BP13597	FMA46442	Tendinous arch of levator ani
FJ1466	BP14098	FMA37396	Abductor digiti minimi of right hand
FJ1467	BP14099	FMA34682	Acromial part of right deltoid
FJ1468	BP14100	FMA34680	Clavicular part of right deltoid
FJ1469	BP14101	FMA37389	Left flexor pollicis brevis
FJ1470	BP11217	FMA37398	Flexor digiti minimi brevis of right hand
FJ1471	BP10838	FMA40120	Flexor retinaculum of right wrist
FJ1472	BP13369	FMA38507	Right extensor carpi ulnaris
FJ1473	BP11300	FMA38617	Humeral head of right flexor carpi ulnaris
FJ1474	BP13583	FMA38560	Humeral head of right pronator teres
FJ1475	BP13371	FMA38470	Right flexor digitorum superficialis
FJ1476	BP11187	FMA23707	Interosseous membrane of right forearm
FJ1477	BP11297	FMA37697	Lateral head of right triceps brachii
FJ1478	BP13582	FMA37686	Long head of right biceps brachii
