#Model:BodyParts3D
#Version:4.1
#Tree:part_of
#FJID	BPID	FMA_ID	FMA_Name
FJ3673	BP14953	FMA55563	Left inferior parathyroid gland
FJ3669	BP14948	FMA8410	Left ninth costal cartilage
FJ3669M	BP14960	FMA8383	Right ninth costal cartilage
FJ1252	BP11711	FMA59763	Gingiva of upper jaw
FJ1253	BP11708	FMA59764	Gingiva of lower jaw
FJ1282	BP14473	FMA58082	Anterior chamber of left eyeball
FJ1285	BP14464	FMA58300	Left choroid
FJ1286	BP14464	FMA58300	Left choroid
FJ1289	BP14468	FMA58240	Left cornea
FJ1294	BP11707	FMA49051	Left inferior oblique
FJ1295	BP14522	FMA49047	Left inferior rectus
FJ1297	BP14469	FMA58237	Left iris
FJ1298	BP14510	FMA59583	Left lacrimal canaliculus
FJ1299	BP11694	FMA59103	Left lacrimal gland
FJ1301	BP14512	FMA59542	Left lacrimal lake
FJ1302	BP14511	FMA59556	Left nasolacrimal duct
FJ1304	BP11706	FMA49055	Left lateral rectus
FJ1305	BP14472	FMA58243	Left lens
FJ1306	BP11704	FMA49049	Left levator palpebrae superioris
FJ1308	BP14515	FMA49057	Left medial rectus
FJ1309	BP11701	FMA59546	Left lacrimal sac
FJ1317	BP14467	FMA58272	Left sclera
FJ1320	BP14470	FMA58840	Suspensory ligament of left lens
FJ1322	BP14514	FMA49053	Left superior oblique
FJ1323	BP14513	FMA49045	Left superior rectus
FJ1324	BP11703	FMA59092	Tarsal plate of left upper eyelid
FJ1328	BP14516	FMA59090	Tarsal plate of left lower eyelid
FJ1331	BP14471	FMA58829	Left vitreous body
FJ1336	BP11684	FMA58299	Right choroid
FJ1337	BP11684	FMA58299	Right choroid
FJ1340	BP11686	FMA58239	Right cornea
FJ1345	BP14529	FMA49050	Right inferior oblique
FJ1346	BP11723	FMA49046	Right inferior rectus
FJ1348	BP11683	FMA58236	Right iris
FJ1349	BP11720	FMA59582	Right lacrimal canaliculus
FJ1350	BP11691	FMA59102	Right lacrimal gland
FJ1352	BP14528	FMA59541	Right lacrimal lake
FJ1353	BP11721	FMA59555	Right nasolacrimal duct
FJ1355	BP14526	FMA49054	Right lateral rectus
FJ1356	BP11690	FMA58242	Right lens
FJ1357	BP11714	FMA49048	Right levator palpebrae superioris
FJ1359	BP11718	FMA49056	Right medial rectus
FJ1360	BP11722	FMA59545	Right lacrimal sac
FJ1368	BP11687	FMA58271	Right sclera
FJ1371	BP11688	FMA58839	Suspensory ligament of right lens
FJ1373	BP11717	FMA49052	Right superior oblique
FJ1374	BP11716	FMA49044	Right superior rectus
FJ1375	BP11713	FMA59091	Tarsal plate of right upper eyelid
FJ1379	BP14525	FMA59089	Tarsal plate of right lower eyelid
FJ1382	BP11689	FMA58828	Right vitreous body
FJ1423	BP14241	FMA58776	Right iliotibial tract
FJ1426	BP11734	FMA22324	Right obturator internus
FJ1428	BP11733	FMA22340	Right piriformis
FJ1431	BP11731	FMA22342	Right psoas major
FJ1446	BP11675	FMA45874	Abdominal part of right pectoralis major
FJ1450	BP11042	FMA21930	External anal sphincter
FJ1452	BP11732	FMA13336	Right external oblique
FJ1456	BP14411	FMA13375	Right pectoralis minor
FJ1459	BP14407	FMA13398	Right serratus anterior
FJ1460	BP14410	FMA13412	Right subclavius
FJ1461	BP11728	FMA9761	Right transversus thoracis
FJ1464	BP11676	FMA79979	Sternocostal part of right pectoralis major
FJ1471	BP14242	FMA40120	Flexor retinaculum of right wrist
FJ1485	BP14414	FMA37705	Right anconeus
FJ1532	BP11673	FMA32540	Right levator scapulae
FJ1536	BP14409	FMA13381	Right rhomboid major
FJ1537	BP14408	FMA13383	Right rhomboid minor
FJ2417	BP13233	FMA7247	Left anterior cusp of pulmonary valve
FJ2418	BP13100	FMA7265	Anterolateral head of lateral papillary muscle of left ventricle
FJ2419	BP11141	FMA7260	Anterior papillary muscle of right ventricle
FJ2420	BP13106	FMA7242	Anterior leaflet of mitral valve
FJ2421	BP13127	FMA7238	Anterior leaflet of tricuspid valve
FJ2422	BP11040	FMA9466	Cavity of left ventricle
FJ2423	BP13261	FMA9291	Cavity of right ventricle
FJ2424	BP10961	FMA11359	Cavity of right atrium
FJ2425	BP10973	FMA9465	Cavity of left atrium
FJ2426	BP11013	FMA7254	Left posterior cusp of aortic valve
FJ2427	BP10944	FMA7250	Posterior cusp of pulmonary valve
FJ2429	BP10932	FMA7264	Lateral papillary muscle of left ventricle
FJ2430	BP13013	FMA7261	Posterior papillary muscle of right ventricle
FJ2431	BP10700	FMA7252	Right posterior cusp of aortic valve
FJ2432	BP13156	FMA7243	Posterior leaflet of mitral valve
FJ2433	BP10916	FMA7239	Posterior leaflet of tricuspid valve
FJ2434	BP11067	FMA7249	Right anterior cusp of pulmonary valve
FJ2435	BP13066	FMA7253	Anterior cusp of aortic valve
FJ2436	BP10951	FMA7240	Septal leaflet of tricuspid valve
FJ2437	BP10792	FMA7262	Septal papillary muscle of right ventricle
FJ2438	BP13268	FMA9531	Wall of left atrium
FJ2439	BP13128	FMA9457	Wall of right atrium
FJ2441	BP11093	FMA68227	Inferior lingular bronchial tree
FJ2442	BP10980	FMA68230	Left medial basal segmental bronchial tree
FJ2443	BP10719	FMA68222	Left anterior segmental bronchial tree
FJ2444	BP13025	FMA68223	Left apical segmental bronchial tree
FJ2445	BP11069	FMA68232	Left lateral basal segmental bronchial tree
FJ2446	BP10939	FMA68233	Left posterior basal segmental bronchial tree
FJ2447	BP10964	FMA68225	Left posterior segmental bronchial tree
FJ2448	BP10881	FMA68228	Left superior segmental bronchial tree
FJ2449	BP10691	FMA68215	Lateral segmental bronchial tree
FJ2450	BP10865	FMA7396	Left main bronchus
FJ2451	BP13988	FMA68214	Medial segmental bronchial tree
FJ2452	BP13031	FMA68321	Right anterior basal segmental bronchial tree
FJ2453	BP12973	FMA68212	Right anterior segmental bronchial tree
FJ2454	BP12997	FMA68211	Right apical segmental bronchial tree
FJ2455	BP10801	FMA68220	Right lateral basal segmental bronchial tree
FJ2456	BP10730	FMA68218	Right medial basal segmental bronchial tree
FJ2457	BP10713	FMA68221	Right posterior basal segmental bronchial tree
FJ2458	BP10949	FMA68213	Right posterior segmental bronchial tree
FJ2459	BP12977	FMA68216	Right superior segmental bronchial tree
FJ2460	BP13025	FMA68223	Left apical segmental bronchial tree
FJ2461	BP13025	FMA68223	Left apical segmental bronchial tree
FJ2462	BP13025	FMA68223	Left apical segmental bronchial tree
FJ2463	BP13025	FMA68223	Left apical segmental bronchial tree
FJ2464	BP13025	FMA68223	Left apical segmental bronchial tree
FJ2465	BP10964	FMA68225	Left posterior segmental bronchial tree
FJ2466	BP10964	FMA68225	Left posterior segmental bronchial tree
FJ2467	BP10719	FMA68222	Left anterior segmental bronchial tree
FJ2468	BP10719	FMA68222	Left anterior segmental bronchial tree
FJ2469	BP10719	FMA68222	Left anterior segmental bronchial tree
FJ2470	BP10713	FMA68221	Right posterior basal segmental bronchial tree
FJ2471	BP10719	FMA68222	Left anterior segmental bronchial tree
FJ2472	BP10719	FMA68222	Left anterior segmental bronchial tree
FJ2473	BP10719	FMA68222	Left anterior segmental bronchial tree
FJ2474	BP10719	FMA68222	Left anterior segmental bronchial tree
FJ2475	BP11093	FMA68227	Inferior lingular bronchial tree
FJ2476	BP13148	FMA68226	Superior lingular bronchial tree
FJ2477	BP13148	FMA68226	Superior lingular bronchial tree
FJ2478	BP13148	FMA68226	Superior lingular bronchial tree
FJ2479	BP10881	FMA68228	Left superior segmental bronchial tree
FJ2480	BP10881	FMA68228	Left superior segmental bronchial tree
FJ2481	BP10713	FMA68221	Right posterior basal segmental bronchial tree
FJ2482	BP10881	FMA68228	Left superior segmental bronchial tree
FJ2483	BP10881	FMA68228	Left superior segmental bronchial tree
FJ2484	BP10881	FMA68228	Left superior segmental bronchial tree
FJ2485	BP10881	FMA68228	Left superior segmental bronchial tree
FJ2486	BP10713	FMA68221	Right posterior basal segmental bronchial tree
FJ2487	BP10713	FMA68221	Right posterior basal segmental bronchial tree
FJ2488	BP10730	FMA68218	Right medial basal segmental bronchial tree
FJ2489	BP10713	FMA68221	Right posterior basal segmental bronchial tree
FJ2490	BP10801	FMA68220	Right lateral basal segmental bronchial tree
FJ2491	BP10801	FMA68220	Right lateral basal segmental bronchial tree
FJ2492	BP10801	FMA68220	Right lateral basal segmental bronchial tree
FJ2493	BP13031	FMA68321	Right anterior basal segmental bronchial tree
FJ2494	BP13031	FMA68321	Right anterior basal segmental bronchial tree
FJ2495	BP12977	FMA68216	Right superior segmental bronchial tree
FJ2496	BP12977	FMA68216	Right superior segmental bronchial tree
FJ2497	BP12977	FMA68216	Right superior segmental bronchial tree
FJ2498	BP12977	FMA68216	Right superior segmental bronchial tree
FJ2499	BP12977	FMA68216	Right superior segmental bronchial tree
FJ2500	BP12977	FMA68216	Right superior segmental bronchial tree
FJ2501	BP12977	FMA68216	Right superior segmental bronchial tree
FJ2502	BP12977	FMA68216	Right superior segmental bronchial tree
FJ2503	BP10691	FMA68215	Lateral segmental bronchial tree
FJ2504	BP10691	FMA68215	Lateral segmental bronchial tree
FJ2505	BP10691	FMA68215	Lateral segmental bronchial tree
FJ2506	BP13988	FMA68214	Medial segmental bronchial tree
FJ2507	BP13988	FMA68214	Medial segmental bronchial tree
FJ2508	BP13988	FMA68214	Medial segmental bronchial tree
FJ2509	BP12973	FMA68212	Right anterior segmental bronchial tree
FJ2510	BP12973	FMA68212	Right anterior segmental bronchial tree
FJ2511	BP12973	FMA68212	Right anterior segmental bronchial tree
FJ2512	BP12973	FMA68212	Right anterior segmental bronchial tree
FJ2513	BP12973	FMA68212	Right anterior segmental bronchial tree
FJ2514	BP12973	FMA68212	Right anterior segmental bronchial tree
FJ2515	BP10949	FMA68213	Right posterior segmental bronchial tree
FJ2516	BP10949	FMA68213	Right posterior segmental bronchial tree
FJ2517	BP10949	FMA68213	Right posterior segmental bronchial tree
FJ2518	BP10949	FMA68213	Right posterior segmental bronchial tree
FJ2519	BP10949	FMA68213	Right posterior segmental bronchial tree
FJ2520	BP12997	FMA68211	Right apical segmental bronchial tree
FJ2521	BP12997	FMA68211	Right apical segmental bronchial tree
FJ2522	BP12997	FMA68211	Right apical segmental bronchial tree
FJ2523	BP12997	FMA68211	Right apical segmental bronchial tree
FJ2524	BP12997	FMA68211	Right apical segmental bronchial tree
FJ2525	BP12997	FMA68211	Right apical segmental bronchial tree
FJ2526	BP12997	FMA68211	Right apical segmental bronchial tree
FJ2527	BP10939	FMA68233	Left posterior basal segmental bronchial tree
FJ2528	BP10939	FMA68233	Left posterior basal segmental bronchial tree
FJ2529	BP10939	FMA68233	Left posterior basal segmental bronchial tree
FJ2530	BP10939	FMA68233	Left posterior basal segmental bronchial tree
FJ2531	BP10939	FMA68233	Left posterior basal segmental bronchial tree
FJ2532	BP11069	FMA68232	Left lateral basal segmental bronchial tree
FJ2533	BP11069	FMA68232	Left lateral basal segmental bronchial tree
FJ2534	BP11069	FMA68232	Left lateral basal segmental bronchial tree
FJ2535	BP10759	FMA68231	Left anterior basal segmental bronchial tree
FJ2536	BP10759	FMA68231	Left anterior basal segmental bronchial tree
FJ2537	BP10980	FMA68230	Left medial basal segmental bronchial tree
FJ2538	BP10759	FMA68231	Left anterior basal segmental bronchial tree
FJ2539	BP11402	FMA68418	Right main bronchus proper
FJ2540	BP13148	FMA68226	Superior lingular bronchial tree
FJ2541	BP14229	FMA7394	Trachea
FJ2543	BP11042	FMA21930	External anal sphincter
FJ2548	BP11042	FMA21930	External anal sphincter
FJ1654	BP10966	FMA50029	Right anterior cerebral artery
FJ1655	BP10679	FMA50169	Anterior communicating artery
FJ1656	BP11048	FMA50544	Anterior inferior cerebellar artery
FJ1657	BP11735	FMA50532	Right anterior spinal artery
FJ1658	BP11736	FMA50088	Right anterior choroidal artery
FJ1661	BP11737	FMA50678	Anterior temporal branch of right lateral occipital artery
FJ1662	BP13082	FMA50377	Anterolateral central branch of right middle cerebral artery
FJ1663	BP13082	FMA50377	Anterolateral central branch of right middle cerebral artery
FJ1672	BP10683	FMA50542	Basilar artery
FJ1675	BP14547	FMA50670	Right thalamogeniculate artery
FJ1677	BP14548	FMA50684	Right splenial artery
FJ1678	BP14548	FMA50684	Right splenial artery
FJ1680	BP14550	FMA50680	Middle temporal branch of right lateral occipital artery
FJ1682	BP12971	FMA3949	Right internal carotid artery
FJ1684	BP11738	FMA50568	Lateral branch of right pontine artery
FJ1687	BP14545	FMA50643	Right lateral occipital artery
FJ1689	BP14552	FMA50566	Medial branch of right pontine artery
FJ1691	BP14549	FMA50645	Right medial occipital artery
FJ1692	BP14553	FMA50366	Sphenoid part of right middle cerebral artery
FJ1695	BP11739	FMA49869	Right ophthalmic artery
FJ1700	BP14555	FMA50519	Right posterior inferior cerebellar artery
FJ1701	BP14555	FMA50519	Right posterior inferior cerebellar artery
FJ1702	BP14555	FMA50519	Right posterior inferior cerebellar artery
FJ1703	BP14555	FMA50519	Right posterior inferior cerebellar artery
FJ1704	BP14555	FMA50519	Right posterior inferior cerebellar artery
FJ1705	BP14555	FMA50519	Right posterior inferior cerebellar artery
FJ1706	BP14555	FMA50519	Right posterior inferior cerebellar artery
FJ1707	BP14555	FMA50519	Right posterior inferior cerebellar artery
FJ1708	BP14555	FMA50519	Right posterior inferior cerebellar artery
FJ1709	BP14555	FMA50519	Right posterior inferior cerebellar artery
FJ1710	BP14555	FMA50519	Right posterior inferior cerebellar artery
FJ1711	BP14555	FMA50519	Right posterior inferior cerebellar artery
FJ1713	BP14556	FMA50085	Right posterior communicating artery
FJ1715	BP14555	FMA50519	Right posterior inferior cerebellar artery
FJ1720	BP14557	FMA50664	Right thalamoperforating artery
FJ1723	BP11740	FMA50639	Precommunicating part of right posterior cerebral artery
FJ1725	BP12943	FMA3958	Right vertebral artery
FJ1726	BP12017	FMA50574	Right superior cerebellar artery
FJ1727	BP14558	FMA50672	Right posterior medial choroidal artery
FJ1730	BP11622	FMA78454	Third ventricle
FJ1731	BP11623	FMA78469	Fourth ventricle
FJ1732	BP11775	FMA72670	Left angular gyrus
FJ1733	BP14577	FMA72669	Right angular gyrus
FJ1737	BP14227	FMA78497	Central canal of spinal cord
FJ1738	BP11621	FMA78467	Cerebral aqueduct
FJ1739	BP11778	FMA72718	Left cingulate gyrus
FJ1740	BP11787	FMA72717	Right cingulate gyrus
FJ1743	BP11628	FMA62032	Habenula
FJ1744	BP11780	FMA72658	Left inferior frontal gyrus
FJ1745	BP11754	FMA72657	Right inferior frontal gyrus
FJ1746	BP14568	FMA72688	Left inferior temporal gyrus
FJ1747	BP11785	FMA72687	Right inferior temporal gyrus
FJ1748	BP11786	FMA72978	Left insula
FJ1749	BP11781	FMA72977	Right insula
FJ1750	BP11768	FMA72907	Left internal capsule
FJ1751	BP11759	FMA72906	Right internal capsule
FJ1758	BP12023	FMA260794	White matter of left cerebral hemisphere
FJ1759	BP14575	FMA72714	Left hippocampus
FJ1760	BP11625	FMA62008	Hypothalamus
FJ1762	BP11783	FMA73435	Left inferior colliculus
FJ1767	BP14579	FMA78450	Left lateral ventricle
FJ1769	BP11634	FMA62004	Medulla oblongata
FJ1770	BP11635	FMA61993	Midbrain
FJ1775	BP11633	FMA67943	Pons
FJ1779	BP11746	FMA73423	Left superior colliculus
FJ1780	BP11626	FMA62327	Tuber cinereum
FJ1781	BP11632	FMA67944	Cerebellum
FJ1783	BP11764	FMA72690	Left fusiform gyrus
FJ1784	BP11765	FMA72689	Right fusiform gyrus
FJ1785	BP11753	FMA72706	Left parahippocampal gyrus
FJ1786	BP11761	FMA72705	Right parahippocampal gyrus
FJ1787	BP11776	FMA72656	Left middle frontal gyrus
FJ1788	BP11774	FMA72655	Right middle frontal gyrus
FJ1789	BP11760	FMA72686	Left middle temporal gyrus
FJ1790	BP11763	FMA72685	Right middle temporal gyrus
FJ1791	BP11782	FMA72976	Left occipital lobe
FJ1792	BP14571	FMA72975	Right occipital lobe
FJ1795	BP14234	FMA62033	Pineal body
FJ1796	BP14238	FMA13889	Pituitary gland
FJ1797	BP11779	FMA72666	Left postcentral gyrus
FJ1798	BP11784	FMA72665	Right postcentral gyrus
FJ1800	BP14578	FMA72662	Left precentral gyrus
FJ1801	BP11771	FMA72661	Right precentral gyrus
FJ1806	BP11749	FMA260791	White matter of right cerebral hemisphere
FJ1807	BP14565	FMA72713	Right hippocampus
FJ1808	BP11625	FMA62008	Hypothalamus
FJ1810	BP11748	FMA73434	Right inferior colliculus
FJ1814	BP14567	FMA78449	Right lateral ventricle
FJ1817	BP11635	FMA61993	Midbrain
FJ1822	BP11633	FMA67943	Pons
FJ1826	BP11777	FMA73422	Right superior colliculus
FJ1828	BP11626	FMA62327	Tuber cinereum
FJ1830	BP11632	FMA67944	Cerebellum
FJ1831	BP11634	FMA62004	Medulla oblongata
FJ1833	BP12014	FMA72654	Left superior frontal gyrus
FJ1834	BP11769	FMA72653	Right superior frontal gyrus
FJ1835	BP11770	FMA72672	Left superior parietal lobule
FJ1836	BP11772	FMA72671	Right superior parietal lobule
FJ1841	BP14570	FMA72668	Left supramarginal gyrus
FJ1842	BP14580	FMA72667	Right supramarginal gyrus
FJ1844	BP10683	FMA50542	Basilar artery
FJ2554	BP13036	FMA59505	Right major alar cartilage
FJ2555	BP13026	FMA59506	Left major alar cartilage
FJ2556	BP13097	FMA59513	Left lateral nasal cartilage
FJ2557	BP13115	FMA59503	Septal nasal cartilage
FJ2558	BP10834	FMA59512	Right lateral nasal cartilage
FJ3396	BP13248	FMA14643	Mesentery of small intestine
FJ3397	BP13208	FMA16549	Mesoappendix
FJ3398	BP13254	FMA14647	Transverse mesocolon
FJ2562	BP13073	FMA14773	Splenic artery
FJ2563	BP11127	FMA7131	Esophagus
FJ2564	BP12956	FMA7148	Stomach
FJ2565	BP11056	FMA14542	Appendix
FJ2566	BP11115	FMA14545	Ascending colon
FJ2567	BP13137	FMA14547	Descending colon
FJ2568	BP13175	FMA15044	Taenia libera
FJ2569	BP10921	FMA15042	Taenia mesocolica
FJ2570	BP11083	FMA15043	Taenia omentalis
FJ2571	BP11620	FMA14544	Rectum
FJ2572	BP10873	FMA14546	Transverse colon
FJ2573	BP10950	FMA7206	Duodenum
FJ2574	BP13015	FMA14964	Proximal part of ileum
FJ2575	BP13015	FMA14964	Proximal part of ileum
FJ2576	BP13971	FMA14965	Middle part of ileum
FJ2577	BP13971	FMA14965	Middle part of ileum
FJ2578	BP13971	FMA14965	Middle part of ileum
FJ2579	BP13971	FMA14965	Middle part of ileum
FJ2580	BP13971	FMA14965	Middle part of ileum
FJ2581	BP13971	FMA14965	Middle part of ileum
FJ2582	BP13971	FMA14965	Middle part of ileum
FJ2583	BP13971	FMA14965	Middle part of ileum
FJ2584	BP13971	FMA14965	Middle part of ileum
FJ2585	BP13015	FMA14964	Proximal part of ileum
FJ2586	BP13971	FMA14965	Middle part of ileum
FJ2587	BP13999	FMA14966	Distal part of ileum
FJ2588	BP13999	FMA14966	Distal part of ileum
FJ2589	BP13999	FMA14966	Distal part of ileum
FJ2590	BP13999	FMA14966	Distal part of ileum
FJ2591	BP13999	FMA14966	Distal part of ileum
FJ2592	BP13999	FMA14966	Distal part of ileum
FJ2593	BP13999	FMA14966	Distal part of ileum
FJ2594	BP13999	FMA14966	Distal part of ileum
FJ2595	BP13999	FMA14966	Distal part of ileum
FJ2596	BP13015	FMA14964	Proximal part of ileum
FJ2597	BP13999	FMA14966	Distal part of ileum
FJ2598	BP13999	FMA14966	Distal part of ileum
FJ2599	BP11009	FMA11338	Ileocecal junction
FJ2600	BP13015	FMA14964	Proximal part of ileum
FJ2601	BP13015	FMA14964	Proximal part of ileum
FJ2602	BP13015	FMA14964	Proximal part of ileum
FJ2603	BP13015	FMA14964	Proximal part of ileum
FJ2604	BP13015	FMA14964	Proximal part of ileum
FJ2605	BP13015	FMA14964	Proximal part of ileum
FJ2606	BP10787	FMA16981	Proximal part of jejunum
FJ2607	BP10726	FMA16982	Middle part of jejunum
FJ2608	BP10726	FMA16982	Middle part of jejunum
FJ2609	BP10726	FMA16982	Middle part of jejunum
FJ2610	BP10726	FMA16982	Middle part of jejunum
FJ2611	BP13029	FMA16983	Distal part of jejunum
FJ2612	BP13029	FMA16983	Distal part of jejunum
FJ2613	BP13029	FMA16983	Distal part of jejunum
FJ2614	BP13029	FMA16983	Distal part of jejunum
FJ2615	BP13029	FMA16983	Distal part of jejunum
FJ2616	BP13029	FMA16983	Distal part of jejunum
FJ2617	BP10787	FMA16981	Proximal part of jejunum
FJ2618	BP13029	FMA16983	Distal part of jejunum
FJ2619	BP13029	FMA16983	Distal part of jejunum
FJ2620	BP13029	FMA16983	Distal part of jejunum
FJ2621	BP13029	FMA16983	Distal part of jejunum
FJ2622	BP10787	FMA16981	Proximal part of jejunum
FJ2623	BP10787	FMA16981	Proximal part of jejunum
FJ2624	BP10787	FMA16981	Proximal part of jejunum
FJ2625	BP10787	FMA16981	Proximal part of jejunum
FJ2626	BP10787	FMA16981	Proximal part of jejunum
FJ2627	BP10787	FMA16981	Proximal part of jejunum
FJ2628	BP10726	FMA16982	Middle part of jejunum
FJ2629	BP11117	FMA63120	Parenchyma of pancreas
FJ2630	BP10829	FMA63103	Pancreatic duct tree
FJ1846	BP14926	FMA50737	Celiac artery
FJ1853	BP12952	FMA50735	Hepatic portal vein
FJ1883	BP11725	FMA71889	Caudate lobe tributary of left hepatic biliary tree
FJ1893	BP13039	FMA15415	Left portal vein
FJ1895	BP13018	FMA7198	Pancreas
FJ1896	BP11636	FMA10419	Pancreatic duct
FJ1913	BP12951	FMA15414	Right portal vein
FJ1914	BP14245	FMA82706	Caudate lobe branch of right portal vein
FJ1916	BP14367	FMA70447	Caudate lobe branch of right hepatic artery
FJ1928	BP13277	FMA14749	Superior mesenteric artery
FJ1931	BP11664	FMA87217	Descending thoracic aorta
FJ1932	BP11665	FMA3789	Abdominal aorta
FJ1934	BP14358	FMA4149	Esophageal artery
FJ1935	BP14286	FMA5042	Right superior intercostal artery
FJ1936	BP14247	FMA3988	Right superior epigastric artery
FJ1937	BP11643	FMA3969	Right internal thoracic artery
FJ1938	BP14259	FMA22675	Right lateral thoracic artery
FJ1967	BP14356	FMA4634	Right subcostal artery
FJ1969	BP14248	FMA10692	Right musculophrenic artery
FJ1970	BP14327	FMA4088	Left superior intercostal artery
FJ1971	BP14310	FMA4083	Left superior epigastric artery
FJ1972	BP14309	FMA4068	Left internal thoracic artery
FJ1976	BP14325	FMA22676	Left lateral thoracic artery
FJ1977	BP14357	FMA4654	Left subcostal artery
FJ1979	BP14311	FMA4077	Left musculophrenic artery
FJ1986	BP14538	FMA4797	Left superior intercostal vein
FJ1993	BP11642	FMA4758	Right internal thoracic vein
FJ2011	BP13277	FMA14749	Superior mesenteric artery
FJ2013	BP14926	FMA50737	Celiac artery
FJ2025	BP11649	FMA14824	Marginal colic artery
FJ2034	BP11742	FMA14819	Ileal branch of inferior branch of ileocolic artery
FJ2038	BP13290	FMA14752	Right renal artery
FJ2041	BP11377	FMA8620	Right anterior segmental artery
FJ2044	BP11377	FMA8620	Right anterior segmental artery
FJ2046	BP13286	FMA14753	Left renal artery
FJ2055	BP14331	FMA43916	Right dorsalis pedis artery
FJ2058	BP14351	FMA69517	Distal perforating artery
FJ2064	BP14351	FMA69517	Distal perforating artery
FJ2065	BP11654	FMA43897	Left anterior tibial artery
FJ2067	BP14296	FMA69495	Left arcuate artery
FJ2069	BP11653	FMA22508	Left descending genicular artery
FJ2073	BP11655	FMA43917	Left dorsalis pedis artery
FJ2074	BP11147	FMA70250	Left femoral artery
FJ2078	BP11652	FMA20802	Left lateral circumflex femoral artery
FJ2079	BP14293	FMA43932	Left lateral plantar artery
FJ2081	BP11656	FMA69491	Left lateral tarsal artery
FJ2082	BP14291	FMA43930	Left medial plantar artery
FJ2085	BP14295	FMA43944	Left plantar arch
FJ2086	BP14297	FMA77381	Left popliteal artery
FJ2087	BP11650	FMA43899	Left posterior tibial artery
FJ2089	BP14292	FMA43938	Left superficial medial plantar artery
